FLORIDA DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,,,
SCHOOL MEMBERSHIP BY GRADE,,,,,,,,,,,,,,,,,,
SCHOOL YEAR 2010-11,,,,,,,,,,,,,,,,,,
SURVEY 2 DATA AS OF 12/05/10,,,,,,,,,,,,,,,,,,
District Number,District Name,School Number,School Name,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,Total Membership
53,POLK,441,RIDGEVIEW GLOBAL STUDIES ACAD.,0,136,145,144,137,127,127,0,0,0,0,0,0,0,816
53,POLK,481,WINTER HAVEN SENIOR HIGH SCHL,0,0,0,0,0,0,0,0,0,0,471,430,358,351,"1,610"
53,POLK,491,DENISON MIDDLE SCHOOL,0,0,0,0,0,0,0,341,323,303,0,0,0,0,967
53,POLK,531,FRANK E. BRIGHAM ACADEMY,0,88,87,87,88,88,88,0,0,0,0,0,0,0,526
53,POLK,571,WESTWOOD MIDDLE SCHOOL,0,0,0,0,0,0,0,336,346,273,0,0,0,0,955
53,POLK,591,ELBERT ELEMENTARY SCHOOL,20,73,78,90,107,91,93,0,0,0,0,0,0,0,552
53,POLK,601,FRED G. GARNER ELEMENTARY SCHL,55,99,98,102,119,93,91,0,0,0,0,0,0,0,657
53,POLK,611,INWOOD ELEMENTARY SCHOOL,0,70,72,78,83,76,53,0,0,0,0,0,0,0,432
53,POLK,621,LAKE SHIPP ELEMENTARY SCHOOL,12,102,104,71,108,76,83,0,0,0,0,0,0,0,556
53,POLK,631,JOHN SNIVELY ELEMENTARY SCHOOL,52,96,86,79,88,80,73,0,0,0,0,0,0,0,554
53,POLK,651,LAKE ALFRED ELEMENTARY SCHOOL,17,79,91,104,108,96,88,0,0,0,0,0,0,0,583
53,POLK,661,KAREN M. SIEGEL ACADEMY,12,4,4,2,10,7,6,3,12,11,14,12,10,42,149
53,POLK,681,WAHNETA ELEMENTARY SCHOOL,54,85,78,78,90,76,62,0,0,0,0,0,0,0,523
53,POLK,711,JEWETT MIDDLE ACADEMY MAGNET,0,0,0,0,0,0,0,198,198,192,0,0,0,0,588
53,POLK,712,JEWETT SCHOOL OF THE ARTS,9,71,71,72,71,88,88,88,86,82,0,0,0,0,726
53,POLK,791,FT. MEADE MIDDLE/SR. HIGH SCHL,0,0,0,0,0,0,0,105,94,90,117,93,83,85,667
53,POLK,802,LEWIS ANNA WOODBURY ELEMENTARY,16,92,98,109,125,104,101,0,0,0,0,0,0,0,645
53,POLK,811,AUBURNDALE SENIOR HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,434,429,349,264,"1,476"
53,POLK,821,JERE L. STAMBAUGH MIDDLE,0,0,0,0,0,0,0,314,277,290,0,0,0,0,881
53,POLK,841,LENA VISTA ELEMENTARY SCHOOL,35,138,137,121,124,114,128,0,0,0,0,0,0,0,797
53,POLK,851,AUBURNDALE CENTRAL ELEMENTARY,36,66,74,61,81,64,53,0,0,0,0,0,0,0,435
53,POLK,861,WALTER CALDWELL ELEM. SCHOOL,23,97,113,107,119,98,104,0,0,0,0,0,0,0,661
53,POLK,881,POLK CITY ELEMENTARY SCHOOL,18,75,69,78,84,84,102,0,0,0,0,0,0,0,510
53,POLK,901,BARTOW SENIOR HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,551,544,425,398,"1,918"
53,POLK,931,BARTOW MIDDLE SCHOOL,0,0,0,0,0,0,0,265,280,256,0,0,0,0,801
53,POLK,932,COMPASS MIDDLE CHARTER SCHOOL,0,0,0,0,0,0,21,71,56,25,0,0,0,0,173
53,POLK,933,CHAIN OF LAKES ELEMENTARY SCHO,33,110,139,143,157,144,136,0,0,0,0,0,0,0,862
53,POLK,937,RIDGE COMMUNITY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,626,583,467,409,"2,085"
53,POLK,941,BARTOW ELEMENTARY ACADEMY,0,54,54,72,72,88,88,0,0,0,0,0,0,0,428
53,POLK,961,FLORAL AVENUE ELEMENTARY SCHOO,18,83,71,70,76,76,67,0,0,0,0,0,0,0,461
53,POLK,962,POLK LIFE AND LEARNING CENTER,0,0,2,12,3,4,5,5,6,3,4,2,1,16,63
53,POLK,971,UNION ACADEMY,0,0,0,0,0,0,0,136,134,134,0,0,0,0,404
53,POLK,981,GIBBONS STREET ELEMENTARY SCHO,53,49,59,57,58,45,35,0,0,0,0,0,0,0,356
53,POLK,1041,ALTURAS ELEMENTARY SCHOOL,6,61,61,49,61,56,55,0,0,0,0,0,0,0,349
53,POLK,1051,TENOROC HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,408,368,316,273,"1,365"
53,POLK,1061,HIGHLAND CITY ELEMENTARY SCHOO,2,71,76,78,82,85,86,0,0,0,0,0,0,0,480
53,POLK,1131,MULBERRY SENIOR HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,284,285,246,226,"1,041"
53,POLK,1141,PURCELL ELEMENTARY SCHOOL,13,60,79,71,81,61,71,0,0,0,0,0,0,0,436
53,POLK,1151,KINGSFORD ELEMENTARY SCHOOL,60,117,86,106,126,92,84,0,0,0,0,0,0,0,671
53,POLK,1161,MULBERRY MIDDLE SCHOOL,0,0,0,0,0,0,0,299,297,270,0,0,0,0,866
53,POLK,1181,KATHLEEN SENIOR HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,540,470,412,384,"1,806"
53,POLK,1191,KATHLEEN MIDDLE SCHOOL,0,0,0,0,0,0,0,284,256,237,0,0,0,0,777
53,POLK,1221,KATHLEEN ELEMENTARY SCHOOL,10,89,93,77,86,83,90,0,0,0,0,0,0,0,528
53,POLK,1231,GRIFFIN ELEMENTARY SCHOOL,13,99,90,81,108,88,106,0,0,0,0,0,0,0,585
