FLORIDA DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,,,
SCHOOL MEMBERSHIP BY GRADE,,,,,,,,,,,,,,,,,,
SCHOOL YEAR 2010-11,,,,,,,,,,,,,,,,,,
SURVEY 2 DATA AS OF 12/05/10,,,,,,,,,,,,,,,,,,
District Number,District Name,School Number,School Name,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,Total Membership
6,BROWARD,3441,EAGLE RIDGE ELEMENTARY SCHOOL,15,116,115,138,119,141,142,0,0,0,0,0,0,0,786
6,BROWARD,3461,EAGLE POINT ELEMENTARY SCHOOL,1,158,190,183,222,191,232,0,0,0,0,0,0,0,"1,177"
6,BROWARD,3471,INDIAN RIDGE MIDDLE SCHOOL,0,0,0,0,0,0,0,676,713,738,0,0,0,0,"2,127"
6,BROWARD,3481,TRADEWINDS ELEMENTARY SCHOOL,28,173,183,162,188,167,182,0,0,0,0,0,0,0,"1,083"
6,BROWARD,3491,SILVER PALMS ELEMENTARY SCHOOL,42,108,132,135,126,140,141,0,0,0,0,0,0,0,824
6,BROWARD,3531,FOX TRAIL ELEMENTARY SCHOOL,1,202,191,180,205,232,225,0,0,0,0,0,0,0,"1,236"
6,BROWARD,3541,MONARCH HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,516,559,495,552,"2,122"
6,BROWARD,3571,PANTHER RUN ELEMENTARY SCHOOL,2,77,96,95,127,147,141,0,0,0,0,0,0,0,685
6,BROWARD,3581,SILVER SHORES ELEMENTARY SCHL,19,87,96,116,107,137,113,0,0,0,0,0,0,0,675
6,BROWARD,3591,LAKESIDE ELEMENTARY SCHOOL,52,131,126,133,140,137,155,0,0,0,0,0,0,0,874
6,BROWARD,3622,FALCON COVE MIDDLE SCHOOL,0,0,0,0,0,0,0,807,821,840,0,0,0,0,"2,468"
6,BROWARD,3623,CYPRESS BAY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,"1,087","1,098",948,952,"4,085"
6,BROWARD,3631,PARKSIDE ELEMENTARY SCHOOL,18,122,121,127,128,158,149,0,0,0,0,0,0,0,823
6,BROWARD,3642,GATOR RUN ELEMENTARY SCHOOL,74,158,191,163,231,226,234,0,0,0,0,0,0,0,"1,277"
6,BROWARD,3651,DAVE THOMAS EDUCATION CENTER,211,0,0,0,0,0,0,0,21,86,69,86,151,170,794
6,BROWARD,3661,SUNSET LAKES ELEMENTARY SCHOOL,46,128,174,146,167,177,193,0,0,0,0,0,0,0,"1,031"
6,BROWARD,3701,ROCK ISLAND ELEMENTARY SCHOOL,29,115,109,93,141,101,93,0,0,0,0,0,0,0,681
6,BROWARD,3731,EVERGLADES HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,633,789,674,724,"2,820"
6,BROWARD,3741,COCONUT PALM ELEMENTARY SCHOOL,4,212,167,155,181,152,179,0,0,0,0,0,0,0,"1,050"
6,BROWARD,3751,DOLPHIN BAY ELEMENTARY SCHOOL,0,114,138,156,166,138,134,0,0,0,0,0,0,0,846
6,BROWARD,3761,PARK LAKES ELEMENTARY SCHOOL,18,184,189,176,228,221,178,0,0,0,0,0,0,0,"1,194"
6,BROWARD,3771,CHALLENGER ELEMENTARY SCHOOL,21,131,128,152,130,142,145,0,0,0,0,0,0,0,849
6,BROWARD,3781,PARK TRAILS ELEMENTARY SCHOOL,30,113,136,125,156,155,163,0,0,0,0,0,0,0,878
6,BROWARD,3821,LIBERTY ELEMENTARY SCHOOL,0,161,167,185,178,177,177,0,0,0,0,0,0,0,"1,045"
6,BROWARD,3841,MANATEE BAY ELEMENTARY SCHOOL,4,156,212,192,202,229,240,0,0,0,0,0,0,0,"1,235"
6,BROWARD,3851,COLLEGE ACADEMY AT BCC,0,0,0,0,0,0,0,0,0,0,0,0,178,171,349
6,BROWARD,3861,CORAL GLADES HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,582,584,534,588,"2,288"
6,BROWARD,3871,WESTGLADES MIDDLE SCHOOL,0,0,0,0,0,0,0,530,494,503,0,0,0,0,"1,527"
6,BROWARD,3911,NEW RENAISSANCE MIDDLE SCHOOL,0,0,0,0,0,0,0,442,475,443,0,0,0,0,"1,360"
6,BROWARD,3931,GULFSTREAM MIDDLE SCHOOL,0,0,0,0,0,0,0,106,115,121,0,0,0,0,342
6,BROWARD,3961,HERON HEIGHTS ELEMENTARY SCHOO,1,143,131,135,114,158,140,0,0,0,0,0,0,0,822
6,BROWARD,3962,DISCOVERY ELEMENTARY SCHOOL,6,133,133,121,165,141,149,0,0,0,0,0,0,0,848
6,BROWARD,3971,WEST BROWARD HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,666,698,685,645,"2,694"
6,BROWARD,4702,"ARTHUR ROBERT ASHE, JUNIOR MID",0,0,0,0,4,0,3,236,188,223,0,0,0,0,654
6,BROWARD,4772,MILLENNIUM MIDDLE SCHOOL,0,0,0,0,0,0,0,555,577,580,0,0,0,0,"1,712"
6,BROWARD,5001,BEN GAMLA CHARTER SCHOOL NORTH,0,0,0,0,0,0,0,21,0,0,0,0,0,0,21
6,BROWARD,5002,SOMERSET ACADEMY VILLAGE CHART,0,0,0,0,0,0,0,69,30,0,0,0,0,0,99
6,BROWARD,5003,SOMERSET PREP ACADEMY AT N LAU,0,58,38,25,60,47,42,64,38,41,0,0,0,0,413
6,BROWARD,5004,SOMERSET VILLAGE ACADEMY,0,75,60,52,39,44,35,0,0,0,0,0,0,0,305
6,BROWARD,5006,SOMERSET PREP ACADEMY HIGH AT,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50
6,BROWARD,5021,SOMERSET NEIGHBORHOOD SCHOOL,0,77,0,0,0,0,0,0,0,0,0,0,0,0,77
6,BROWARD,5024,IMAGINE MIDDLE SCHOOL AT BROWA,0,0,0,0,0,0,0,66,0,0,0,0,0,0,66
6,BROWARD,5026,CHARTER SCHOOL OF EXCELLENCE D,0,29,29,28,25,22,20,0,0,0,0,0,0,0,153
6,BROWARD,5030,SOMERSET PINES ACADEMY,0,49,41,40,43,45,46,0,0,0,0,0,0,0,264
6,BROWARD,5031,CHARTER SCHOOL OF EXCELLENCE,0,31,56,54,53,45,49,0,0,0,0,0,0,0,288
6,BROWARD,5041,CENTRAL CHARTER SCHOOL,18,134,110,84,93,83,73,25,0,0,0,0,0,0,620
6,BROWARD,5051,CITY OF PEMBROKE PINES CHARTER,0,319,318,318,318,328,328,0,0,0,0,0,0,0,"1,929"
6,BROWARD,5071,SMART SCHOOL CHARTER MIDDLE,0,0,0,0,0,0,0,62,38,49,0,0,0,0,149
6,BROWARD,5081,CITY/PEMBROKE PINES CHARTER MI,0,0,0,0,0,0,0,427,409,407,0,0,0,0,"1,243"
6,BROWARD,5091,CITY OF CORAL SPRINGS CHARTER,0,0,0,0,0,0,0,269,271,262,224,222,211,181,"1,640"
6,BROWARD,5111,IMAGINE CHARTER SCHOOL AT WEST,0,143,145,144,144,131,127,0,0,0,0,0,0,0,834
6,BROWARD,5121,CITY/PEMBROKE PINES CHARTER HS,0,0,0,0,0,0,0,0,0,0,452,434,431,397,"1,714"
6,BROWARD,5131,CHARTER SCHOOL INSTIT TRAINING,0,24,22,14,22,17,14,4,0,0,0,0,0,0,117
6,BROWARD,5141,SOMERSET ACADEMY,0,127,141,148,144,156,146,0,0,0,0,0,0,0,862
6,BROWARD,5151,SOMERSET ACADEMY MIDDLE SCHOOL,0,0,0,0,0,0,0,286,258,258,0,0,0,0,802
6,BROWARD,5161,NORTH BROWARD ACADEMY OF EXCEL,0,117,136,115,95,75,87,0,0,0,0,0,0,0,625
6,BROWARD,5171,IMAGINE CHARTER/N LAUDERDALE,0,78,63,59,54,55,63,0,0,0,0,0,0,0,372
6,BROWARD,5181,PARKWAY ACADEMY,0,0,0,0,0,0,0,0,0,0,183,131,102,80,496
6,BROWARD,5201,CHARTER SCHOOL OF EXCELLENCE T,0,55,28,52,28,28,29,0,0,0,0,0,0,0,220
6,BROWARD,5211,SOMERSET ACADEMY DAVIE CHARTER,0,23,24,24,24,23,22,0,0,0,0,0,0,0,140
6,BROWARD,5221,SOMERSET ACADEMY CHARTER HIGH,0,0,0,0,0,0,0,0,0,0,247,169,150,146,712
6,BROWARD,5231,EAGLE ACADEMY CHARTER SCHOOL,0,0,0,0,0,0,0,55,71,61,69,99,62,53,470
6,BROWARD,5261,IMAGINE AT N LAUDERDALE MIDDLE,0,0,0,0,0,0,0,67,53,51,0,0,0,0,171
6,BROWARD,5271,CHARTER SCHOOL OF EXCELLENCE A,0,26,31,28,26,22,21,0,0,0,0,0,0,0,154
6,BROWARD,5281,CHARTER SCHOOL OF EXCELLENCE A,0,29,24,20,21,20,15,0,0,0,0,0,0,0,129
6,BROWARD,5291,CHARTER SCHOOL OF EXCELLENCE T,0,28,57,26,26,27,28,0,0,0,0,0,0,0,192
6,BROWARD,5315,BROWARD COMMUNITY CHARTER SCHO,0,18,16,20,16,22,18,0,0,0,0,0,0,0,110
6,BROWARD,5325,HOLLYWOOD ACAD OF ARTS & SCIEN,0,56,69,78,78,78,74,0,0,0,0,0,0,0,433
6,BROWARD,5331,DOLPHIN PARK HIGH,0,0,0,0,0,0,0,0,0,0,31,72,116,143,362
6,BROWARD,5335,TOUCHDOWNS4LIFE,0,0,0,0,0,0,0,23,23,24,0,0,0,0,70
6,BROWARD,5341,NORTH UNIVERSITY HIGH,0,0,0,0,0,0,0,0,0,0,29,55,163,114,361
6,BROWARD,5351,LAUDERHILL HIGH,0,0,0,0,0,0,0,0,0,0,64,85,73,83,305
6,BROWARD,5355,EAGLES NEST ELEMENTARY CHARTER,0,27,22,27,28,23,31,0,0,0,0,0,0,0,158
6,BROWARD,5356,EAGLES NEST MIDDLE CHARTER SCH,0,0,0,0,0,0,0,23,17,17,0,0,0,0,57
6,BROWARD,5361,FLORIDA INTERCULTURAL ACADEMY,0,76,46,53,35,27,18,0,0,0,0,0,0,0,255
6,BROWARD,5362,HOLLYWOOD ACADEMY OF ARTS AND,0,0,0,0,0,0,0,100,73,70,0,0,0,0,243
6,BROWARD,5365,LIFE SKILLS BROWARD COUNTY,0,0,0,0,0,0,0,0,0,0,37,77,103,91,308
6,BROWARD,5371,NORTH BROWARD ACADEMY OF EXCEL,0,0,0,0,0,0,0,116,105,107,0,0,0,0,328
6,BROWARD,5375,PARAGON ELEMENTARY CHARTER SCH,0,25,27,27,23,34,26,0,0,0,0,0,0,0,162
6,BROWARD,5381,PARAGON ACADEMY OF TECHNOLOGY,0,0,0,0,0,0,0,32,30,39,0,0,0,0,101
6,BROWARD,5386,BROWARD COMMUNITY CHARTER MIDD,0,0,0,0,0,0,0,20,22,40,0,0,0,0,82
6,BROWARD,5389,RISE ACADEMY II,0,0,0,0,0,0,46,38,22,0,0,0,0,0,106
6,BROWARD,5391,SOMERSET ACADEMY EAST PREPARAT,0,61,46,34,42,30,23,0,0,0,0,0,0,0,236
6,BROWARD,5392,BEN GAMLA CHARTER SCHOOL SOUTH,0,64,39,32,25,20,16,29,0,0,0,0,0,0,225
6,BROWARD,5393,EXCELSIOR CHARTER OF BROWARD,0,44,32,33,37,14,0,0,0,0,0,0,0,0,160
6,BROWARD,5394,CHARTER SCHOOL OF EXCELLENCE 2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,31
6,BROWARD,5395,POMPANO CHARTER MIDDLE SCHOOL,0,0,0,0,0,0,0,25,24,20,0,0,0,0,69
6,BROWARD,5396,SOMERSET ARTS CONSERVATORY,0,0,0,0,0,0,0,0,0,0,23,24,14,17,78
6,BROWARD,5397,CHARTER SCHOOLS OF EXCELLENCE,0,30,24,19,21,0,0,0,0,0,0,0,0,0,94
6,BROWARD,5400,SUNSHINE ELEMENTARY CHARTER SC,0,21,18,23,14,19,16,0,0,0,0,0,0,0,111
6,BROWARD,5403,BROWARD COMMUNITY CHARTER WEST,0,73,67,57,53,67,35,0,0,0,0,0,0,0,352
6,BROWARD,5405,SOMERSET ACADEMY ELEMENTARY (M,0,28,120,138,167,120,120,0,0,0,0,0,0,0,693
6,BROWARD,5406,SOMERSET ACADEMY MIDDLE (MIRAM,0,0,0,0,0,0,0,117,108,170,0,0,0,0,395
6,BROWARD,5409,KIDZ CHOICE CHARTER SCHOOL,0,29,21,18,18,15,0,0,0,0,0,0,0,0,101
6,BROWARD,5410,BEN GAMLA CHARTER SCHOOL,0,92,84,67,66,68,72,29,50,46,0,0,0,0,574
6,BROWARD,5412,DISCOVERY MIDDLE CHARTER SCHOO,0,0,0,0,0,0,0,37,39,18,0,0,0,0,94
6,BROWARD,5414,FLORIDA INTERCULTURAL ACADEMY,0,0,0,0,0,0,0,17,16,0,0,0,0,0,33
6,BROWARD,5415,IMAGINE CHARTER SCHOOL OF BROW,0,91,179,108,95,72,75,0,0,0,0,0,0,0,620
6,BROWARD,5416,INTERNATIONAL SCHOOL OF BROWAR,0,0,0,0,0,0,0,44,41,48,44,43,34,15,269
6,BROWARD,5418,HENRY MCNEAL TURNER LEARNING A,0,15,22,11,12,10,2,0,0,0,0,0,0,0,72
6,BROWARD,5420,RISE ACADEMY SCHOOL OF SCIENCE,0,56,52,47,65,53,0,0,0,0,0,0,0,0,273
6,BROWARD,5441,SOMERSET PREPARATORY CHARTER M,0,0,0,0,0,0,0,46,28,0,0,0,0,0,74
6,BROWARD,5481,MAVERICKS HIGH OF CENTRAL BROW,0,0,0,0,0,0,0,0,0,0,57,53,31,30,171
6,BROWARD,5501,"ARC BROWARD, INC.",53,0,0,0,0,0,0,0,0,0,0,0,0,0,53
6,BROWARD,5506,"KIDS IN DISTRESS, INC.",24,0,0,0,0,0,0,0,0,0,0,0,0,0,24
6,BROWARD,5511,"ANN STORCK CENTER, INC.",68,0,0,0,0,0,0,0,0,0,0,0,0,0,68
6,BROWARD,5521,BAUDHUIN ORAL SCHOOL-NOVA UNI.,157,0,0,0,0,0,0,0,0,0,0,0,0,0,157
6,BROWARD,5531,BROWARD CHILDREN'S CENTER NORT,45,0,0,0,1,1,1,2,1,1,1,1,4,3,61
6,BROWARD,5541,BROWARD CHILDREN'S CENTER SOUT,75,0,0,0,0,0,0,0,0,0,0,0,0,0,75
6,BROWARD,5561,UCP EARLY BEGINNINGS,46,0,0,0,0,0,0,0,0,0,0,0,0,0,46
6,BROWARD,5581,ALPHABET LAND-MARGATE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,BROWARD,5602,BABY BOOMERS,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
6,BROWARD,5603,PRODIGY CENTER FOR YOUTH DEVEL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,BROWARD,6011,BROWARD DETENTION CENTER,0,0,0,0,0,0,0,2,13,22,16,19,11,3,86
6,BROWARD,6012,THOMPSON ACADEMY,0,0,0,0,0,0,0,3,9,24,46,41,19,3,145
6,BROWARD,6015,BROWARD GIRLS ACADEMY,0,0,0,0,0,0,0,0,0,6,2,12,7,3,30
6,BROWARD,6016,POMPANO SUBSTANCE ABUSE TREATM,0,0,0,0,0,0,0,0,1,1,4,10,2,6,24
6,BROWARD,6051,AMIKIDS OF GREATER FORT LAUDER,0,0,0,0,0,0,0,3,8,9,18,18,11,1,68
6,BROWARD,6091,"PACE CENTER FOR GIRLS, INC.",0,0,0,0,0,0,0,2,5,9,28,17,11,6,78
6,BROWARD,6501,OFF CAMPUS LEARNING,0,0,0,0,0,0,0,0,0,0,74,208,284,407,973
6,BROWARD,7001,VIRTUAL INSTRUCTION PROGRAM,0,3,10,10,13,14,15,0,0,0,0,0,0,0,65
6,BROWARD,7004,BROWARD VIRTUAL EDUCATION,0,0,0,0,0,0,0,46,43,40,49,52,61,95,386
