"Student Membership by Grade, 2009-10",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,MEMBERSHIP
1,ALACHUA,953,CARING & SHARING LEARNING SCH,0,20,20,21,26,22,22,0,0,0,0,0,0,0,131
1,ALACHUA,955,EINSTEIN MONTESSORI SCHOOL,0,0,0,11,12,14,12,17,23,17,0,0,0,0,106
1,ALACHUA,956,EXPRESSIONS LEARNING ARTS ACAD,0,14,23,13,14,13,9,0,0,0,0,0,0,0,86
1,ALACHUA,957,ALACHUA LEARNING CENTER,0,19,17,21,16,9,18,24,20,23,0,0,0,0,167
1,ALACHUA,958,GENESIS PREPARATORY SCHOOL,0,19,23,19,10,0,0,0,0,0,0,0,0,0,71
1,ALACHUA,961,"MICANOPY MIDDLE SCHOOL, INC.",0,0,0,0,0,0,0,22,23,20,11,0,0,0,76
1,ALACHUA,971,HOGGETOWNE MIDDLE SCHOOL,0,0,0,0,0,0,0,30,43,36,0,0,0,0,109
1,ALACHUA,981,HEALTHY LEARNING ACADEMY CHART,0,17,19,11,0,0,0,0,0,0,0,0,0,0,47
1,ALACHUA,991,FLORIDA SIATECH AT GAINESVILLE,0,0,0,0,0,0,0,0,0,0,16,35,85,66,202
1,ALACHUA,1001,SWEETWATER BRANCH ACADEMY,0,0,0,0,0,0,0,52,47,33,0,0,0,0,132
1,ALACHUA,7001,ALACHUA COUNTY VIRTUAL SCHOOL,0,0,4,1,5,2,4,0,0,1,1,13,5,3,39
1,ALACHUA,9029,N. FLORIDA JUVENILE DETENTION,0,0,0,0,0,0,0,1,6,11,15,13,7,1,54
2,BAKER,12,BAKER COUNTY SENIOR HIGH SCHOO,2,0,0,0,0,0,0,0,0,0,401,363,307,315,"1,388"
2,BAKER,13,MACCLENNY ELEMENTARY SCHOOL,4,0,210,179,224,2,0,0,0,0,0,0,0,0,619
2,BAKER,22,PREK/KINDERGARTEN CENTER,165,452,1,0,0,0,0,0,0,0,0,0,0,0,618
2,BAKER,31,J FRANKLYN KELLER INTERMEDIATE,8,0,0,0,0,390,372,0,0,0,0,0,0,0,770
2,BAKER,32,BAKER COUNTY MIDDLE SCHOOL,0,0,0,0,0,0,8,359,352,376,0,0,0,0,"1,095"
2,BAKER,91,WESTSIDE ELEMENTARY SCHOOL,1,2,223,243,205,0,0,0,0,0,0,0,0,0,674
2,BAKER,7001,BAKER COUNTY VIRTUAL INSTRUCTI,0,0,2,2,0,0,0,1,0,0,0,0,0,0,5
3,BAY,61,BAY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,348,328,315,256,"1,247"
3,BAY,71,MERRITT BROWN MIDDLE SCHOOL,0,0,0,0,0,0,0,265,295,278,0,0,0,0,838
3,BAY,81,HUTCHISON BEACH ELEMENTARY SCH,34,124,90,110,115,89,120,0,0,0,0,0,0,0,682
3,BAY,91,CEDAR GROVE ELEMENTARY SCHOOL,41,96,74,85,82,72,72,0,0,0,0,0,0,0,522
3,BAY,101,CALLAWAY ELEMENTARY SCHOOL,51,96,83,105,97,99,89,0,0,0,0,0,0,0,620
3,BAY,111,MERRIAM CHERRY STREET ELEM.,20,83,60,69,83,73,76,0,0,0,0,0,0,0,464
3,BAY,131,LUCILLE MOORE ELEMENTARY SCHL,33,105,93,83,88,97,83,0,0,0,0,0,0,0,582
3,BAY,141,EVERITT MIDDLE SCHOOL,0,0,0,0,0,0,0,383,352,330,0,0,0,0,"1,065"
3,BAY,151,HILAND PARK ELEMENTARY SCHOOL,53,170,140,142,143,142,135,0,0,0,0,0,0,0,925
3,BAY,161,JINKS MIDDLE SCHOOL,0,0,0,0,0,0,0,297,298,212,0,0,0,0,807
3,BAY,171,LYNN HAVEN ELEMENTARY SCHOOL,33,117,124,135,123,153,140,0,0,0,0,0,0,0,825
