"Student Membership by Grade, 2009-10",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,MEMBERSHIP
13,DADE,339,SOMERSET ACAD CHARTER ELEM SCH,0,60,48,46,34,40,39,0,0,0,0,0,0,0,267
13,DADE,341,ARCHCREEK ELEMENTARY SCHOOL,0,92,95,111,107,116,90,0,0,0,0,0,0,0,611
13,DADE,342,PINECREST ACADEMY (SOUTH CAMPU,0,224,165,168,190,151,108,0,0,0,0,0,0,0,"1,006"
13,DADE,361,BISCAYNE GARDENS ELEMENTARY,65,104,105,96,105,95,100,0,0,0,0,0,0,0,670
13,DADE,400,RENAISSANCE ELEMENTARY CHARTER,0,75,78,75,98,78,98,0,0,0,0,0,0,0,502
13,DADE,401,VAN E. BLANTON ELEMENTARY SCHL,34,94,82,108,119,78,80,0,0,0,0,0,0,0,595
13,DADE,441,BLUE LAKES ELEMENTARY SCHOOL,61,73,89,73,77,78,74,0,0,0,0,0,0,0,525
13,DADE,451,DR. BOWMAN FOSTER ASHE ELEMENT,48,136,125,151,159,186,176,0,0,0,0,0,0,0,981
13,DADE,461,BRENTWOOD ELEMENTARY SCHOOL,52,134,125,140,138,147,101,0,0,0,0,0,0,0,837
13,DADE,481,JAMES H. BRIGHT ELEMENTARY,0,91,118,109,155,107,134,0,0,0,0,0,0,0,714
13,DADE,510,ARCHIMEDEAN ACADEMY,0,78,57,55,62,92,84,0,0,0,0,0,0,0,428
13,DADE,520,SOMERSET ACADEMY CHARTER,0,83,75,87,94,137,67,0,0,0,0,0,0,0,543
13,DADE,521,BROADMOOR ELEMENTARY SCHOOL,50,61,63,75,98,62,76,0,0,0,0,0,0,0,485
13,DADE,561,W. J. BRYAN ELEMENTARY,36,107,130,139,110,124,124,0,0,0,0,0,0,0,770
13,DADE,600,PINECREST PREPARATORY ACADEMY,0,148,131,108,93,84,86,0,0,0,0,0,0,0,650
13,DADE,641,BUNCHE PARK ELEMENTARY SCHOOL,17,48,47,53,46,60,47,0,0,0,0,0,0,0,318
13,DADE,651,CAMPBELL DRIVE ELEMENTARY SCHO,48,94,96,122,99,105,158,0,0,0,0,0,0,0,722
13,DADE,661,CARIBBEAN ELEMENTARY SCHOOL,37,121,115,123,113,123,125,0,0,0,0,0,0,0,757
13,DADE,671,CALUSA ELEMENTARY SCHOOL,18,109,155,160,121,134,140,0,0,0,0,0,0,0,837
13,DADE,681,CAROL CITY ELEMENTARY SCHOOL,50,107,87,117,91,95,103,0,0,0,0,0,0,0,650
13,DADE,721,GEORGE W. CARVER ELEMENTARY SC,0,73,79,80,77,83,78,0,0,0,0,0,0,0,470
13,DADE,761,FIENBERG/FISHER  K-8 CENTER,44,103,93,98,95,113,100,83,83,104,0,0,0,0,916
13,DADE,771,WILLIAM A. CHAPMAN ELEM. SCHL,27,74,63,64,61,43,44,0,0,0,0,0,0,0,376
13,DADE,801,CITRUS GROVE ELEMENTARY SCHOOL,35,116,140,136,149,170,116,0,0,0,0,0,0,0,862
13,DADE,831,CLAUDE PEPPER ELEMENTARY SCHL,70,119,133,131,119,157,124,0,0,0,0,0,0,0,853
13,DADE,841,COCONUT GROVE ELEMENTARY SCHL,18,68,53,55,53,43,56,0,0,0,0,0,0,0,346
13,DADE,861,COLONIAL DRIVE ELEMENTARY SCHL,17,60,46,41,46,49,69,0,0,0,0,0,0,0,328
13,DADE,881,COMSTOCK ELEMENTARY SCHOOL,66,81,92,86,87,91,85,0,0,0,0,0,0,0,588
13,DADE,921,NEVA KING COOPER EDUCATIONAL C,4,3,5,2,3,3,7,10,7,4,8,8,11,32,107
13,DADE,950,AVENTURA CITY OF EXCELLENCE,0,109,109,108,109,100,100,99,100,98,0,0,0,0,932
13,DADE,961,CORAL GABLES ELEMENTARY SCHOOL,18,96,100,86,110,108,111,0,0,0,0,0,0,0,629
13,DADE,1001,CORAL PARK ELEMENTARY SCHOOL,70,158,160,190,192,143,173,0,0,0,0,0,0,0,"1,086"
13,DADE,1010,THE CHARTER SCHOOL AT WATERSTO,0,88,105,112,136,129,139,140,162,140,0,0,0,0,"1,151"
13,DADE,1012,EXCEL ACADEMY CHARTER SCHOOL N,0,17,13,14,25,9,12,0,0,0,0,0,0,0,90
13,DADE,1014,ADVANCED LEARNING CHARTER SCHO,0,31,27,27,19,21,7,0,0,0,0,0,0,0,132
13,DADE,1017,MATER ACADEMY OF INTERNATIONAL,0,91,58,42,40,28,33,0,0,0,0,0,0,0,292
13,DADE,1020,YOUTH CO-OP CHARTER SCHOOL,0,38,34,38,36,46,48,105,97,84,0,0,0,0,526
13,DADE,1041,CORAL REEF ELEMENTARY SCHOOL,17,120,159,157,161,145,169,0,0,0,0,0,0,0,928
13,DADE,1070,SOUTH FLORIDA AUTISM CHARTER S,0,9,9,8,9,9,9,9,8,6,0,0,0,0,76
13,DADE,1081,CORAL TERRACE ELEMENTARY SCHL,18,68,90,98,96,89,95,0,0,0,0,0,0,0,554
13,DADE,1121,CORAL WAY K-8 CENTER,33,153,151,169,177,175,194,183,170,184,0,0,0,0,"1,589"
13,DADE,1161,CRESTVIEW ELEMENTARY SCHOOL,17,105,98,141,151,147,140,0,0,0,0,0,0,0,799
13,DADE,1241,CUTLER RIDGE ELEMENTARY SCHOOL,16,144,162,144,138,137,140,0,0,0,0,0,0,0,881
13,DADE,1281,CYPRESS ELEMENTARY SCHOOL,17,55,63,66,56,55,72,0,0,0,0,0,0,0,384
13,DADE,1331,DEVON AIRE K-8 CENTER,17,142,161,164,186,186,161,177,165,187,0,0,0,0,"1,546"
13,DADE,1361,FREDERICK R. DOUGLASS ELEM.,20,64,67,51,91,51,69,0,0,0,0,0,0,0,413
13,DADE,1371,MARJORY STONEMAN DOUGLAS ELEM,52,161,171,228,187,198,209,0,0,0,0,0,0,0,"1,206"
13,DADE,1401,CHARLES R DREW ELEMENTARY SCHL,15,41,46,50,65,50,74,0,0,0,0,0,0,0,341
13,DADE,1441,PAUL LAURENCE DUNBAR ELEM.SCHL,17,67,73,53,60,45,56,0,0,0,0,0,0,0,371
13,DADE,1481,JOHN G. DUPUIS ELEMENTARY SCHL,29,100,91,129,126,157,141,0,0,0,0,0,0,0,773
13,DADE,1521,AMELIA EARHART ELEMENTARY SCHL,40,67,66,77,90,88,107,0,0,0,0,0,0,0,535
13,DADE,1561,EARLINGTON HEIGHTS ELEM. SCHL,17,85,89,89,107,75,75,0,0,0,0,0,0,0,537
13,DADE,1601,EDISON PARK ELEMENTARY SCHOOL,17,65,61,67,76,70,73,0,0,0,0,0,0,0,429
13,DADE,1641,EMERSON ELEMENTARY SCHOOL,17,74,78,70,68,52,60,0,0,0,0,0,0,0,419
13,DADE,1681,LILLIE C. EVANS ELEM. SCHOOL,34,40,62,61,56,54,52,39,0,0,0,0,0,0,398
13,DADE,1691,CHRISTINA M. EVE ELEM. SCHOOL,20,102,112,117,121,127,130,0,0,0,0,0,0,0,729
13,DADE,1721,EVERGLADES K-8 CENTER,42,83,106,111,126,107,127,163,150,144,0,0,0,0,"1,159"
13,DADE,1761,DAVID FAIRCHILD ELEMENTARY SCH,30,106,100,82,90,104,100,0,0,0,0,0,0,0,612
13,DADE,1801,FAIRLAWN ELEMENTARY SCHOOL,17,111,104,108,131,91,119,0,0,0,0,0,0,0,681
13,DADE,1811,DANTE B. FASCELL ELEM. SCHOOL,18,70,78,79,84,100,109,0,0,0,0,0,0,0,538
13,DADE,1841,FLAGAMI ELEMENTARY SCHOOL,31,74,72,87,75,96,93,0,0,0,0,0,0,0,528
13,DADE,1881,HENRY M. FLAGLER ELEM. SCHOOL,47,121,129,146,132,120,134,0,0,0,0,0,0,0,829
13,DADE,1921,FLAMINGO ELEMENTARY SCHOOL,17,110,139,149,142,154,149,0,0,0,0,0,0,0,860
13,DADE,2001,FLORIDA CITY ELEMENTARY SCHOOL,37,103,103,104,152,127,128,0,0,0,0,0,0,0,754
13,DADE,2004,ISAAC:INTEGRATED SCIENCE/ASIAN,0,16,7,0,0,0,0,0,0,0,0,0,0,0,23
13,DADE,2005,RISE ACADEMY-SOUTH DADE CHARTE,0,56,67,58,0,0,0,22,46,0,0,0,0,0,249
13,DADE,2006,RICHARD ALLEN LEADERSHIP ACADE,0,16,14,18,18,17,18,0,0,0,0,0,0,0,101
13,DADE,2007,SOMERSET ACADEMY ELEM SCHOOL (,0,76,62,40,48,35,40,0,0,0,0,0,0,0,301
13,DADE,2012,SOMERSET ARTS ACADEMY,0,46,57,32,33,19,9,0,0,0,0,0,0,0,196
13,DADE,2021,GLORIA FLOYD ELEMENTARY SCHOOL,36,105,103,115,88,111,113,0,0,0,0,0,0,0,671
13,DADE,2041,BENJAMIN FRANKLIN ELEM. SCHOOL,18,59,60,93,94,75,109,0,0,0,0,0,0,0,508
13,DADE,2060,THEODORE R. AND THELMA A. GIBS,0,36,15,26,22,20,20,24,30,23,0,0,0,0,216
13,DADE,2081,FULFORD ELEMENTARY SCHOOL,16,93,102,89,104,88,114,0,0,0,0,0,0,0,606
13,DADE,2111,HIALEAH GARDENS ELEM. SCHOOL,39,122,139,163,183,187,160,0,0,0,0,0,0,0,993
13,DADE,2151,JACK DAVID GORDON ELEMENTARY S,18,177,189,191,203,165,198,0,0,0,0,0,0,0,"1,141"
13,DADE,2161,GOLDEN GLADES ELEMENTARY SCHL,33,51,54,50,66,42,49,0,0,0,0,0,0,0,345
13,DADE,2181,JOELLA GOOD ELEMENTARY SCHOOL,19,129,150,141,139,148,169,0,0,0,0,0,0,0,895
13,DADE,2191,SPANISH LAKE ELEMENTARY SCHOOL,14,293,296,305,312,291,281,0,0,0,0,0,0,0,"1,792"
13,DADE,2241,GRATIGNY ELEMENTARY SCHOOL,79,108,100,122,103,84,86,69,0,0,0,0,0,0,751
13,DADE,2261,GREENGLADE ELEMENTARY SCHOOL,42,90,88,102,93,100,127,0,0,0,0,0,0,0,642
13,DADE,2281,GREYNOLDS PARK ELEMENTARY SCHL,50,108,125,128,143,131,133,0,0,0,0,0,0,0,818
13,DADE,2321,GULFSTREAM ELEMENTARY SCHOOL,74,103,103,93,100,111,95,0,0,0,0,0,0,0,679
13,DADE,2331,CHARLES R HADLEY ELEM SCHOOL,37,177,190,153,180,174,171,0,0,0,0,0,0,0,"1,082"
13,DADE,2341,JOE HALL ELEMENTARY SCHOOL,17,93,90,110,124,118,130,0,0,0,0,0,0,0,682
13,DADE,2351,ENEIDA M. HARTNER ELEM. SCHOOL,18,81,84,80,100,97,112,0,0,0,0,0,0,0,572
13,DADE,2361,HIALEAH ELEMENTARY SCHOOL,28,104,128,133,144,147,151,0,0,0,0,0,0,0,835
13,DADE,2371,WEST HIALEAH GARDENS ELEMENTAR,15,154,195,184,196,216,193,0,0,0,0,0,0,0,"1,153"
13,DADE,2401,HIBISCUS ELEMENTARY SCHOOL,51,81,81,115,115,97,98,0,0,0,0,0,0,0,638
13,DADE,2441,VIRGINIA A BOONE-HIGHLAND OAKS,32,90,86,75,106,82,91,0,0,0,0,0,0,0,562
13,DADE,2501,HOLMES ELEMENTARY SCHOOL,17,39,45,52,80,85,91,0,0,0,0,0,0,0,409
13,DADE,2511,ZORA NEALE HURSTON ELEMENTARY,59,163,117,151,130,145,162,0,0,0,0,0,0,0,927
13,DADE,2521,OLIVER HOOVER ELEMENTARY SCHL,37,133,136,134,147,171,154,0,0,0,0,0,0,0,912
13,DADE,2531,THENA CROWDER ELEMENTARY SCHL,17,32,25,29,39,0,0,0,0,0,0,0,0,0,142
13,DADE,2541,HOWARD DRIVE ELEMENTARY SCHOOL,34,65,109,102,99,102,110,0,0,0,0,0,0,0,621
13,DADE,2581,MADIE IVES COMMUNITY ELEMENTAR,24,86,121,89,170,132,125,0,0,0,0,0,0,0,747
13,DADE,2621,JAMES W. JOHNSON ELEMENTARY SC,79,9,0,0,0,0,0,0,0,0,0,0,0,0,88
13,DADE,2641,KENDALE ELEMENTARY SCHOOL,24,80,90,90,88,96,86,0,0,0,0,0,0,0,554
13,DADE,2651,KENDALE LAKES ELEMENTARY SCHL,40,101,111,118,133,135,146,0,0,0,0,0,0,0,784
13,DADE,2661,KENSINGTON PARK ELEM. SCHOOL,36,178,206,199,220,181,176,0,0,0,0,0,0,0,"1,196"
13,DADE,2701,KENWOOD K-8 CENTER,20,98,117,101,128,130,122,153,146,151,0,0,0,0,"1,166"
13,DADE,2741,KEY BISCAYNE K-8 CENTER,18,137,122,142,139,144,125,138,125,126,0,0,0,0,"1,216"
13,DADE,2761,MARTIN LUTHER KING ELEMENTARY,51,57,69,47,0,0,0,0,0,0,0,0,0,0,224
13,DADE,2781,KINLOCH PARK ELEMENTARY SCHOOL,17,117,124,134,145,158,140,0,0,0,0,0,0,0,835
13,DADE,2801,LAKE STEVENS ELEMENTARY SCHOOL,32,58,57,52,63,51,65,0,0,0,0,0,0,0,378
13,DADE,2821,LAKEVIEW ELEMENTARY SCHOOL,30,63,67,97,107,80,62,0,0,0,0,0,0,0,506
13,DADE,2861,YWAACD@JRE LEE OPPORTUNITY SCH,0,0,0,0,0,0,0,6,15,36,13,16,14,7,107
13,DADE,2881,LEEWOOD K-8 CENTER,18,89,86,85,90,99,90,64,65,0,0,0,0,0,686
13,DADE,2891,WILLIAM H. LEHMAN ELEMENTARY S,28,114,146,99,130,135,124,0,0,0,0,0,0,0,776
13,DADE,2901,LEISURE CITY K-8 CENTER,16,110,131,156,133,122,136,119,111,131,0,0,0,0,"1,165"
13,DADE,2911,LINDA LENTIN K-8 CENTER,35,95,99,107,125,102,119,143,123,107,0,0,0,0,"1,055"
13,DADE,2941,LAURA C. SAUNDERS ELEM. SCHOOL,47,99,127,152,168,123,123,0,0,0,0,0,0,0,839
13,DADE,2981,LIBERTY CITY ELEMENTARY SCHOOL,12,22,27,30,42,42,25,0,0,0,0,0,0,0,200
13,DADE,3021,"JESSE J. MCCRARY, JR. ELEMENTA",34,98,93,93,100,80,66,0,0,0,0,0,0,0,564
13,DADE,3030,DORAL ACADEMY,0,135,126,128,137,120,116,0,0,0,0,0,0,0,762
13,DADE,3041,LORAH PARK ELEMENTARY SCHOOL,17,68,63,58,99,60,58,0,0,0,0,0,0,0,423
13,DADE,3051,TOUSSAINT L'OUVERTURE ELEM.,42,83,87,76,70,56,78,0,0,0,0,0,0,0,492
13,DADE,3061,LUDLAM ELEMENTARY SCHOOL,11,70,67,68,86,76,83,0,0,0,0,0,0,0,461
13,DADE,3100,MATER ACADEMY EAST CHARTER,0,106,108,99,92,70,69,0,0,0,0,0,0,0,544
13,DADE,3101,FRANK CRAWFORD MARTIN K-8 CENT,16,120,126,123,126,144,132,137,133,111,0,0,0,0,"1,168"
13,DADE,3111,WESLEY MATTHEWS ELEM. SCHOOL,35,69,88,83,111,84,144,0,0,0,0,0,0,0,614
13,DADE,3141,MEADOWLANE ELEMENTARY SCHOOL,17,150,169,207,212,171,186,0,0,0,0,0,0,0,"1,112"
13,DADE,3181,MELROSE ELEMENTARY SCHOOL,17,83,82,91,98,92,89,0,0,0,0,0,0,0,552
13,DADE,3191,ADA MERRITT K-8 CENTER,0,54,56,71,87,123,112,98,50,37,0,0,0,0,688
13,DADE,3241,MIAMI GARDENS ELEMENTARY SCHL,26,31,56,50,58,57,48,0,0,0,0,0,0,0,326
13,DADE,3261,MIAMI HEIGHTS ELEMENTARY SCHL,98,180,165,177,198,166,180,0,0,0,0,0,0,0,"1,164"
13,DADE,3281,MIAMI LAKES K-8 CENTER,18,137,171,144,185,168,208,177,200,163,0,0,0,0,"1,571"
13,DADE,3301,MIAMI PARK ELEMENTARY SCHOOL,36,76,70,77,100,80,71,0,0,0,0,0,0,0,510
13,DADE,3341,MIAMI SHORES ELEMENTARY SCHOOL,17,99,122,123,122,117,114,0,0,0,0,0,0,0,714
13,DADE,3381,MIAMI SPRINGS ELEMENTARY SCHL,27,64,100,103,103,114,107,0,0,0,0,0,0,0,618
13,DADE,3421,MARCUS A. MILAM K-8 CENTER,18,80,99,118,126,138,118,155,144,169,0,0,0,0,"1,165"
13,DADE,3431,PHYLLIS R. MILLER ELEM. SCHOOL,58,138,94,115,127,109,98,0,0,0,0,0,0,0,739
13,DADE,3501,MORNINGSIDE ELEMENTARY SCHOOL,35,62,77,74,68,68,68,0,0,0,0,0,0,0,452
13,DADE,3541,ROBERT RUSSA MOTON ELEMENTARY,34,48,61,70,83,66,85,0,0,0,0,0,0,0,447
13,DADE,3581,MYRTLE GROVE ELEMENTARY SCHOOL,51,59,62,70,53,63,52,0,0,0,0,0,0,0,410
13,DADE,3600,DOWNTOWN MIAMI CHARTER SCHOOL,0,92,115,99,104,71,78,69,0,0,0,0,0,0,628
13,DADE,3610,KEYS GATE CHARTER SCHOOL,0,90,101,110,150,137,144,140,140,138,0,0,0,0,"1,150"
13,DADE,3621,COCONUT PALM K-8 ACADEMY,0,179,148,142,166,174,139,149,124,0,0,0,0,0,"1,221"
13,DADE,3661,NATURAL BRIDGE ELEMENTARY SCHL,68,97,76,85,110,85,92,0,0,0,0,0,0,0,613
13,DADE,3701,NORLAND ELEMENTARY SCHOOL,42,105,96,102,105,93,117,0,0,0,0,0,0,0,660
13,DADE,3741,NORTH BEACH ELEMENTARY SCHOOL,36,162,137,154,149,146,155,0,0,0,0,0,0,0,939
13,DADE,3781,BARBARA HAWKINS ELEM. SCHOOL,17,64,53,46,57,50,57,0,0,0,0,0,0,0,344
13,DADE,3821,NORTH COUNTY ELEMENTARY SCHOOL,19,61,46,58,56,52,60,0,0,0,0,0,0,0,352
13,DADE,3861,NORTH GLADE ELEMENTARY SCHOOL,34,58,43,59,67,66,68,0,0,0,0,0,0,0,395
13,DADE,3901,NORTH HIALEAH ELEMENTARY SCHL,28,92,96,109,113,97,111,0,0,0,0,0,0,0,646
13,DADE,3941,NORTH MIAMI ELEMENTARY SCHOOL,70,75,86,89,116,89,88,0,0,0,0,0,0,0,613
13,DADE,3981,NORTH TWIN LAKES ELEMENTARY  S,52,116,119,102,115,103,125,0,0,0,0,0,0,0,732
13,DADE,4000,MIAMI CHILDREN'S MUSEUM CHARTE,0,76,57,62,29,0,0,0,0,0,0,0,0,0,224
13,DADE,4001,NORWOOD ELEMENTARY SCHOOL,35,74,84,75,91,81,80,0,0,0,0,0,0,0,520
13,DADE,4021,OAK GROVE ELEMENTARY SCHOOL,16,93,92,115,126,122,121,63,0,0,0,0,0,0,748
13,DADE,4031,GATEWAY ENVIRONMENTAL K-8 LEAR,8,176,144,123,124,120,0,0,0,0,0,0,0,0,695
13,DADE,4061,OJUS ELEMENTARY SCHOOL,0,139,153,134,139,143,143,0,0,0,0,0,0,0,851
13,DADE,4070,EARLY BEGINNINGS ACADEMY CIVIC,92,31,19,0,0,0,0,0,0,0,0,0,0,0,142
13,DADE,4071,OLINDA ELEMENTARY SCHOOL,0,69,54,62,83,63,66,0,0,0,0,0,0,0,397
13,DADE,4081,MIAMI-DADE COUNTY PRIMARY LEAR,29,18,0,0,0,0,0,0,0,0,0,0,0,0,47
13,DADE,4091,OLYMPIA HEIGHTS ELEM. SCHOOL,18,71,95,95,101,87,94,0,0,0,0,0,0,0,561
13,DADE,4121,DR. ROBERT B. INGRAM/OPA-LOCKA,17,70,69,70,65,42,43,0,0,0,0,0,0,0,376
13,DADE,4171,ORCHARD VILLA ELEMENTARY SCHL,26,72,63,69,78,64,62,0,0,0,0,0,0,0,434
13,DADE,4221,PALMETTO ELEMENTARY SCHOOL,44,74,70,91,91,115,116,0,0,0,0,0,0,0,601
13,DADE,4241,PALM LAKES ELEMENTARY SCHOOL,28,128,134,148,124,163,166,0,0,0,0,0,0,0,891
13,DADE,4261,PALM SPRINGS ELEMENTARY SCHOOL,18,106,118,126,130,125,148,0,0,0,0,0,0,0,771
13,DADE,4281,PALM SPRINGS NORTH ELEMENTARY,22,137,171,144,164,174,154,0,0,0,0,0,0,0,966
13,DADE,4301,PARKVIEW ELEMENTARY SCHOOL,34,62,85,57,95,61,73,0,0,0,0,0,0,0,467
13,DADE,4341,PARKWAY ELEMENTARY SCHOOL,17,63,69,67,60,68,62,0,0,0,0,0,0,0,406
13,DADE,4381,PERRINE ELEMENTARY SCHOOL,0,110,123,143,145,168,177,0,0,0,0,0,0,0,866
13,DADE,4391,IRVING & BEATRICE PESKOE ELEM.,22,75,86,102,100,102,115,0,0,0,0,0,0,0,602
13,DADE,4401,KELSEY L. PHARR ELEMENTARY SCH,31,74,83,72,88,68,74,0,0,0,0,0,0,0,490
13,DADE,4421,PINECREST ELEMENTARY SCHOOL,36,153,139,154,133,138,157,0,0,0,0,0,0,0,910
13,DADE,4441,PINE LAKE ELEMENTARY SCHOOL,33,81,76,72,66,65,66,0,0,0,0,0,0,0,459
13,DADE,4461,PINE VILLA ELEMENTARY SCHOOL,34,79,52,54,57,49,66,0,0,0,0,0,0,0,391
13,DADE,4491,HENRY E.S. REEVES ELEM. SCHOOL,0,128,132,130,162,116,117,0,0,0,0,0,0,0,785
13,DADE,4501,POINCIANA PARK ELEMENTARY SCHL,28,71,66,73,77,69,57,2,0,0,0,0,0,0,443
13,DADE,4511,DR. GILBERT L. PORTER ELEM.,37,115,113,119,149,135,153,0,0,0,0,0,0,0,821
13,DADE,4541,RAINBOW PARK ELEMENTARY SCHOOL,18,62,61,60,89,67,86,0,0,0,0,0,0,0,443
13,DADE,4581,REDLAND ELEMENTARY SCHOOL,17,146,137,152,169,148,157,0,0,0,0,0,0,0,926
13,DADE,4611,REDONDO ELEMENTARY SCHOOL,39,178,162,162,163,0,0,0,0,0,0,0,0,0,704
13,DADE,4651,ETHEL F. BECKFORD/RICHMOND ELE,17,48,45,45,51,42,50,0,0,0,0,0,0,0,298
13,DADE,4681,RIVERSIDE ELEM.COMMUN.SCHL.,34,142,145,153,162,139,141,0,0,0,0,0,0,0,916
13,DADE,4691,JANE S. ROBERTS K-8 CENTER,36,66,101,107,97,120,125,112,120,130,0,0,0,0,"1,014"
13,DADE,4721,ROCKWAY ELEMENTARY SCHOOL,0,59,70,73,84,78,107,0,0,0,0,0,0,0,471
13,DADE,4741,ROYAL GREEN ELEMENTARY SCHOOL,17,129,112,137,135,129,131,0,0,0,0,0,0,0,790
13,DADE,4761,ROYAL PALM ELEMENTARY SCHOOL,28,79,83,83,89,102,105,0,0,0,0,0,0,0,569
13,DADE,4801,GERTRUDE K. EDLEMAN/SABAL PALM,33,110,108,149,156,132,134,0,0,0,0,0,0,0,822
13,DADE,4841,SANTA CLARA ELEMENTARY SCHOOL,17,90,90,95,91,90,86,0,0,0,0,0,0,0,559
13,DADE,4881,SCOTT LAKE ELEMENTARY SCHOOL,67,85,81,95,109,89,93,0,0,0,0,0,0,0,619
13,DADE,4921,SEMINOLE ELEMENTARY SCHOOL,16,73,107,86,93,82,83,0,0,0,0,0,0,0,540
13,DADE,4961,SHADOWLAWN ELEMENTARY SCHOOL,29,64,45,55,58,44,57,0,0,0,0,0,0,0,352
13,DADE,5001,SHENANDOAH ELEMENTARY SCHOOL,35,127,144,170,169,141,179,0,0,0,0,0,0,0,965
13,DADE,5003,SOUTH DADE MIDDLE SCHOOL,0,0,0,0,0,240,301,315,330,271,0,0,0,0,"1,457"
13,DADE,5005,DAVID LAWRENCE JR. K-8 CENTER,16,148,153,137,166,151,145,138,132,168,0,0,0,0,"1,354"
13,DADE,5007,LINCOLN-MARTI CHARTER SCHOOLS,0,63,36,42,34,35,32,52,22,17,0,0,0,0,333
13,DADE,5010,OXFORD ACADEMY OF MIAMI,0,34,35,27,16,15,10,4,0,0,0,0,0,0,141
13,DADE,5021,BEN SHEPPARD ELEMENTARY SCHOOL,77,151,141,164,183,216,204,0,0,0,0,0,0,0,"1,136"
13,DADE,5025,LINCOLN-MARTI CHARTER SCHOOL L,0,125,66,63,63,55,43,70,48,25,0,0,0,0,558
13,DADE,5029,EXCELSIOR LANGUAGE ACADEMY OF,0,50,66,61,53,50,59,106,104,49,0,0,0,0,598
13,DADE,5030,SANDOR WIENER SCHOOL OF OPPORT,2,2,3,4,0,4,1,2,3,2,0,0,0,0,23
13,DADE,5032,EXCELSIOR CHARTER ACADEMY,0,26,22,22,28,20,15,25,0,0,0,0,0,0,158
13,DADE,5041,SILVER BLUFF ELEMENTARY SCHOOL,49,70,83,80,87,99,97,0,0,0,0,0,0,0,565
13,DADE,5051,ERNEST R. GRAHAM ELEM. SCHOOL,18,203,178,211,261,250,257,0,0,0,0,0,0,0,"1,378"
13,DADE,5061,DR. CARLOS J. FINLAY ELEM.,17,75,84,85,90,108,103,0,0,0,0,0,0,0,562
13,DADE,5081,SKYWAY ELEMENTARY SCHOOL,18,69,69,81,102,98,85,0,0,0,0,0,0,0,522
13,DADE,5091,SOUTH POINTE ELEMENTARY SCHOOL,17,94,88,86,80,67,91,20,0,0,0,0,0,0,543
13,DADE,5101,JOHN I. SMITH ELEMENTARY SCHOO,35,155,199,199,164,211,209,0,0,0,0,0,0,0,"1,172"
13,DADE,5121,SNAPPER CREEK ELEMENTARY SCHL,17,82,77,103,105,106,81,0,0,0,0,0,0,0,571
13,DADE,5131,N DADE CENTER FOR MODERN LANGU,0,0,68,72,75,93,97,0,0,0,0,0,0,0,405
13,DADE,5141,HUBERT O. SIBLEY ELEMENTARY SC,18,123,99,118,127,91,109,99,0,0,0,0,0,0,784
13,DADE,5201,SOUTH HIALEAH ELEMENTARY SCHOO,20,164,220,197,200,211,202,0,0,0,0,0,0,0,"1,214"
13,DADE,5241,SOUTH MIAMI K-8 CENTER,11,74,88,72,125,123,157,77,68,84,0,0,0,0,879
13,DADE,5281,SOUTH MIAMI HEIGHTS ELEMENTARY,17,87,88,104,118,111,130,0,0,0,0,0,0,0,655
13,DADE,5321,SOUTHSIDE ELEMENTARY SCHOOL,17,63,71,88,70,0,0,0,0,0,0,0,0,0,309
13,DADE,5361,SPRINGVIEW ELEMENTARY SCHOOL,30,89,73,85,101,77,86,0,0,0,0,0,0,0,541
13,DADE,5381,E.W.F. STIRRUP ELEMENTARY SCHO,47,118,127,123,152,135,172,0,0,0,0,0,0,0,874
13,DADE,5401,SUNSET ELEMENTARY SCHOOL,18,77,201,234,206,187,206,0,0,0,0,0,0,0,"1,129"
13,DADE,5421,SUNSET PARK ELEMENTARY SCHOOL,32,103,107,102,121,102,110,0,0,0,0,0,0,0,677
13,DADE,5431,SWEETWATER ELEMENTARY SCHOOL,52,141,151,158,157,149,189,0,0,0,0,0,0,0,997
13,DADE,5441,SYLVANIA HEIGHTS ELEM. SCHOOL,10,85,97,85,101,113,110,0,0,0,0,0,0,0,601
13,DADE,5481,TREASURE ISLAND ELEM. SCHOOL,25,120,119,131,106,94,95,35,0,0,0,0,0,0,725
13,DADE,5521,TROPICAL ELEMENTARY SCHOOL,67,55,61,56,64,75,83,0,0,0,0,0,0,0,461
13,DADE,5561,FRANCES S. TUCKER ELEM. SCHOOL,18,56,57,53,63,55,69,0,0,0,0,0,0,0,371
13,DADE,5601,TWIN LAKES ELEMENTARY SCHOOL,17,90,89,90,107,113,119,0,0,0,0,0,0,0,625
13,DADE,5641,VILLAGE GREEN ELEMENTARY SCHL,28,49,58,73,65,58,80,0,0,0,0,0,0,0,411
13,DADE,5671,VINELAND K-8 CENTER,17,82,110,82,91,105,108,85,62,0,0,0,0,0,742
13,DADE,5710,SANDOR WIENER SCHOOL OF OPPORT,0,1,2,1,3,2,6,6,5,1,0,0,0,0,27
13,DADE,5711,MAE M. WALTERS ELEMENTARY SCHL,45,110,140,119,141,134,105,0,0,0,0,0,0,0,794
13,DADE,5791,WEST HOMESTEAD ELEMENTARY SCHL,26,115,97,107,134,113,91,0,0,0,0,0,0,0,683
