DISTRICT #,DISTRICT NAME,SCHOOL #,SCHOOL NAME,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,TOTAL MEMBERSHIP
1,ALACHUA,21,CHARLES W. DUVAL ELEM SCHOOL, ,60,50,42,47,46,65, , , , , , , ,310
1,ALACHUA,31,J. J. FINLEY ELEMENTARY SCHOOL, ,90,120,106,104,88,70, , , , , , , ,578
1,ALACHUA,41,STEPHEN FOSTER ELEMENTARY SCHL, ,71,98,67,85,90,73, , , , , , , ,484
1,ALACHUA,52,A.QUINN JONES/EXCEP.STUD.CTR., , ,#,#,#,#,#,10,#,#,#,12,#,#,66
1,ALACHUA,71,LAKE FOREST ELEMENTARY SCHOOL, ,52,51,52,52,43,50, , , , , , , ,300
1,ALACHUA,81,SIDNEY LANIER CENTER,66, , ,#,#,#,#,#,#,#,#,#,#,43,149
1,ALACHUA,82,HOSPITAL HOMEBOUND,#,#,#, ,#,#,#,#,#,#,#,#,#,#,43
1,ALACHUA,91,LITTLEWOOD ELEMENTARY SCHOOL,16,113,115,104,103,84,85, , , , , , , ,620
1,ALACHUA,101,W. A. METCALFE ELEMENTARY SCHO,87,60,57,59,51,44,40, , , , , , , ,398
1,ALACHUA,111,JOSEPH WILLIAMS ELEM. SCHOOL, ,80,77,103,101,94,111, , , , , , , ,566
1,ALACHUA,112,ABRAHAM LINCOLN MIDDLE SCHOOL, , , , , , , ,216,237,216, , , , ,669
1,ALACHUA,121,HOWARD W. BISHOP MIDDLE SCHOOL, , , , , , , ,240,237,210, , , , ,687
1,ALACHUA,141,WESTWOOD MIDDLE SCHOOL, , , , , , , ,312,339,332, , , , ,983
1,ALACHUA,151,GAINESVILLE HIGH SCHOOL, , , , , , , , , , ,437,473,383,422,"1,715"
1,ALACHUA,161,ALACHUA ELEMENTARY SCHOOL, , , , ,123,116,126, , , , , , , ,365
1,ALACHUA,171,ARCHER ELEMENTARY,19,52,80,57,71,98,77, , , , , , , ,454
1,ALACHUA,201,HAWTHORNE MIDDLE/HIGH SCHOOL, , , , , , , ,40,42,25,10,24,18,16,175
1,ALACHUA,221,A. L. MEBANE MIDDLE SCHOOL, , , , , , , ,115,120,120, , , , ,355
1,ALACHUA,261,NEWBERRY HIGH SCHOOL, , , , , , , , , , ,117,127,115,119,478
1,ALACHUA,271,SANTA FE HIGH SCHOOL, , , , , , , , , , ,208,243,271,215,937
1,ALACHUA,281,CHESTER SHELL ELEMENTARY SCHL,17,32,39,23,34,26,24, , , , , , , ,195
1,ALACHUA,291,WALDO COMMUNITY SCHOOL,19,42,43,31,26,34,26, , , , , , , ,221
1,ALACHUA,311,MYRA TERWILLIGER ELEM. SCHOOL,90,126,121,98,97,76,69, , , , , , , ,677
1,ALACHUA,321,IDYLWILD ELEMENTARY SCHOOL, ,145,137,109,120,89,82, , , , , , , ,682
1,ALACHUA,331,GLEN SPRINGS ELEMENTARY SCHOOL, ,83,96,83,70,74,68, , , , , , , ,474
1,ALACHUA,341,MARJORIE KINNAN RAWLINGS ELEM,91,59,58,49,55,35,40, , , , , , , ,387
1,ALACHUA,343,CHARACTER COUNTS CENTER, ,#,#,#,#,#,#,#, , , , , , ,37
1,ALACHUA,411,PROFESSIONAL ACADEMY MAGNET AT,12, , , , , , , ,#, ,64,48,43,49,217
1,ALACHUA,412,HORIZON CTR. ALTERNATIVE SCHL, , , , , , , ,#,16,29,15,14,#,#,87
1,ALACHUA,421,EASTSIDE HIGH SCHOOL, , , , , , , , , , ,400,303,274,284,"1,261"
1,ALACHUA,431,F. W. BUCHHOLZ HIGH SCHOOL, , , , , , , , , , ,543,506,491,475,"2,015"
1,ALACHUA,461,HIGH SPRINGS COMMUNITY SCHOOL,17,82,82,86,97,86,94,111,103,112, , , , ,870
1,ALACHUA,481,FORT CLARKE MIDDLE SCHOOL, , , , , , , ,261,258,317, , , , ,836
1,ALACHUA,482,HIDDEN OAK ELEMENTARY SCHOOL,17,111,125,105,142,111,115, , , , , , , ,726
1,ALACHUA,492,FEARNSIDE FAMILY SERVICES CENT,62, , , , , , , , , , , , , ,62
1,ALACHUA,500,PRAIRIE VIEW ACADEMY,48, , , , , , , , , , , , , ,48
1,ALACHUA,501,KIMBALL WILES ELEM. SCHOOL,#,168,137,130,125,126,119, , , , , , , ,808
1,ALACHUA,502,KANAPAHA MIDDLE SCHOOL, , , , , , , ,299,347,318, , , , ,964
1,ALACHUA,503,WILES HEAD START,85, , , , , , , , , , , , , ,85
1,ALACHUA,510,LAWTON M. CHILES ELEM. SCHOOL,#,130,121,125,102,101,108, , , , , , , ,688
1,ALACHUA,520,MEADOWBROOK ELEMENTARY SCHOOL,13,132,135,104,120,96,110, , , , , , , ,710
1,ALACHUA,531,NEWBERRY ELEMENTARY SCHOOL,30,106,99,101,107,78, , , , , , , , ,521
1,ALACHUA,541,C. W. NORTON ELEMENTARY SCHOOL,15,136,126,120,111,97,70, , , , , , , ,675
1,ALACHUA,561,WILLIAM S. TALBOT ELEM SCHOOL,12,129,108,110,138,101,109, , , , , , , ,707
1,ALACHUA,571,W. W. IRBY ELEMENTARY SCHOOL,64,146,163,133, , , , , , , , , , ,506
1,ALACHUA,591,OAK VIEW MIDDLE SCHOOL, , , , , , ,90,202,201,194, , , , ,687
1,ALACHUA,602,ALACHUA ACADEMY, , , , , , , , ,#,#,10,#,#,#,24
1,ALACHUA,603,AMIKIDS, , , , , , , ,#,#,11,15,#, , ,34
1,ALACHUA,604,PACE, , , , , , , ,#,#,#,#,#,#,#,36
1,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJ,22,53,48,34,25,19,16, , , , , , , ,217
1,ALACHUA,951,MICANOPY AREA COOPERATIVE SCHO,20,24,24,18,20,22,18, , , , , , , ,146
1,ALACHUA,953,CARING & SHARING LEARNING SCHO, ,25,16,19,22,21,22,11, , , , , , ,136
1,ALACHUA,955,EINSTEIN MONTESSORI SCHOOL, , , ,#,11,16,21,19,13,13, , , , ,100
1,ALACHUA,956,EXPRESSIONS LEARNING ARTS ACAD, ,19,14,14,15,12,18, , , , , , , ,92
1,ALACHUA,957,"ALACHUA LEARNING CENTER, INC.", ,18,20,17,13,22,22, , , , , , , ,112
1,ALACHUA,958,GENESIS PREPARATORY SCHOOL, ,17,17,19,16, , , , , , , , , ,69
1,ALACHUA,961,"MICANOPY MIDDLE SCHOOL, INC.", , , , , , , ,23,#,25,#, , , ,66
1,ALACHUA,971,HOGGETOWNE MIDDLE SCHOOL, , , , , , , ,38,35,40, , , , ,113
1,ALACHUA,981,HEALTHY LEARNING ACADEMY CHART, ,18,17,17,12,16,#, , , , , , , ,89
1,ALACHUA,991,SIATECH GAINESVILLE, , , , , , , , , , ,#,19,18,69,113
1,ALACHUA,1003,MYCROSCHOOL GAINESVILLE, , , , , , , , , , ,13,27,81,159,280
1,ALACHUA,1010,ONE ROOM MIDDLE SCHOOL, , , , , , , ,11,14,16, , , , ,41
1,ALACHUA,1011,"ALACHUA LEARNING CENTER , INC.", , , , , , , ,16,22,18, , , , ,56
1,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANC, , , , , , , ,#,25,71,226,264,182,99,873
1,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(D, ,#,10,#,#,#,#, , , , , , , ,35
1,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETE, , , , , , , , ,#,13,#,#,#,#,39
1,ALACHUA,9999,DISTRICT TOTAL,828,"2,391","2,413","2,159","2,239","1,980","1,966","1,950","2,043","2,107","2,104","2,097","1,906","1,966","28,149"
2,BAKER,12,BAKER COUNTY SENIOR HIGH SCHOO, , , , , , , , , , ,384,307,259,290,"1,240"
2,BAKER,13,MACCLENNY ELEMENTARY SCHOOL,#, ,227,195,209, , , , , , , , , ,634
2,BAKER,22,PREK/KINDERGARTEN CENTER,181,427, , , , , , , , , , , , ,608
2,BAKER,31,J FRANKLYN KELLER INTERMEDIATE, , , , , ,398,359, , , , , , , ,757
2,BAKER,32,BAKER COUNTY MIDDLE SCHOOL, , , , , , , ,376,409,358, , , , ,"1,143"
2,BAKER,91,WESTSIDE ELEMENTARY SCHOOL, , ,206,193,204, , , , , , , , , ,603
2,BAKER,9999,DISTRICT TOTAL,184,427,433,388,413,398,359,376,409,358,384,307,259,290,"4,985"
3,BAY,61,BAY HIGH SCHOOL, , , , , , , , , , ,392,346,338,255,"1,331"
3,BAY,71,MERRITT BROWN MIDDLE SCHOOL, , , , , , , ,289,267,237, , , , ,793
3,BAY,81,HUTCHISON BEACH ELEMENTARY SCH, ,127,109,110,125,109,105, , , , , , , ,685
3,BAY,91,CEDAR GROVE ELEMENTARY SCHOOL,43,81,89,72,66,81,55, , , , , , , ,487
3,BAY,101,CALLAWAY ELEMENTARY SCHOOL,56,78,88,72,103,83,63, , , , , , , ,543
3,BAY,111,MERRIAM CHERRY STREET ELEM.,16,74,73,73,66,57,67, , , , , , , ,426
3,BAY,131,LUCILLE MOORE ELEMENTARY SCHL,45,98,107,84,73,54,67, , , , , , , ,528
3,BAY,141,EVERITT MIDDLE SCHOOL, , , , , , , ,266,250,255, , , , ,771
3,BAY,151,HILAND PARK ELEMENTARY SCHOOL,60,137,143,133,128,128,97, , , , , , , ,826
3,BAY,161,JINKS MIDDLE SCHOOL, , , , , , , ,204,175,192, , , , ,571
3,BAY,171,LYNN HAVEN ELEMENTARY SCHOOL,60,106,116,125,120,108,130, , , , , , , ,765
3,BAY,191,OAKLAND TERRACE SCHL FOR VIS,26,71,55,42,64,62,49, , , , , , , ,369
3,BAY,201,SURFSIDE MIDDLE SCHOOL, , , , , , , ,212,277,237, , , , ,726
3,BAY,211,PARKER ELEMENTARY SCHOOL,39,99,108,106,110,83,76, , , , , , , ,621
3,BAY,221,SOUTHPORT ELEMENTARY SCHOOL,34,63,61,71,69,53,65, , , , , , , ,416
3,BAY,231,SPRINGFIELD ELEMENTARY SCHOOL,34,76,78,62,86,79,59, , , , , , , ,474
3,BAY,241,ST. ANDREW SCHOOL,#,13,23,22,25,20,22, , , , , , , ,129
3,BAY,251,WALLER ELEMENTARY SCHOOL,46,72,81,80,60,75,79, , , , , , , ,493
3,BAY,281,MARGARET K. LEWIS IN MILLVILLE,#,#,#,#,#,#,#,#,10,11,#,#,13,35,137
3,BAY,291,OSCAR PATTERSON ELEM MAGNET,10,81,61,70,59,53,52, , , , , , , ,386
3,BAY,331,MOWAT MIDDLE SCHOOL, , , , , , , ,343,330,332, , , , ,"1,005"
3,BAY,341,RUTHERFORD HIGH SCHOOL, , , , , , , , , , ,391,262,278,288,"1,219"
3,BAY,461,DEER POINT ELEMENTARY SCHOOL,14,102,99,94,94,83,80, , , , , , , ,566
3,BAY,471,NORTHSIDE ELEMENTARY SCHOOL,51,125,120,113,98,81,87, , , , , , , ,675
3,BAY,491,A. CRAWFORD MOSLEY HIGH SCHOOL, , , , , , , , , , ,483,421,393,392,"1,689"
3,BAY,501,TYNDALL ELEMENTARY SCHOOL,43,157,150,117,134,104,96, , , , , , , ,801
3,BAY,511,TOMMY SMITH ELEMENTARY SCHOOL,67,117,114,107,121,99,93, , , , , , , ,718
3,BAY,521,PATRONIS ELEMENTARY SCHOOL, ,119,147,148,127,116,107, , , , , , , ,764
3,BAY,531,NEW HORIZONS LEARNING CENTER, , , , , , , ,13,20,23,22,16,#,10,112
3,BAY,541,DEANE BOZEMAN SCHOOL,36,49,45,54,55,59,61,114,106,114,137,128,116,107,"1,181"
3,BAY,551,J.R. ARNOLD HIGH SCHOOL,27, , , , , , , , , ,454,358,338,283,"1,460"
3,BAY,571,BREAKFAST POINT ACADEMY,#,162,163,151,169,124,184,167,164,127, , , , ,"1,415"
3,BAY,581,ROSENWALD HIGH SCHOOL,14, , , , , , , , ,20,51,68,74,77,304
3,BAY,591,C C WASHINGTON ACADEMY, , , , , , , ,21,42,48, , , , ,111
3,BAY,602,BAY REG.JUVENILE DETENTION CTR, , , , , , , ,#,#,#,#,#,#, ,18
3,BAY,604,PANAMA CITY MARINE INSTITUTE, , , , , , , ,#,11,18,21,32,#,#,100
3,BAY,701,BAY HAVEN CHARTER ACADEMY, ,108,108,108,108,128,130, , , , , , , ,690
3,BAY,711,BAY HAVEN CHARTER MIDDLE SCHOO, , , , , , , ,167,181,169, , , , ,517
3,BAY,731,NORTH BAY HAVEN CHARTER ACADEM, , , , , , , ,113,92,123, , , , ,328
3,BAY,741,NORTH BAY HAVEN CAREER ACADEMY, , , , , , , , , , ,161,151,133,98,543
3,BAY,751,NORTH BAY HAVEN CHARTER ACADEM, ,72,71,73,72,88,88, , , , , , , ,464
3,BAY,771,NEWPOINT BAY CHARTER HIGH SCHO, , , , , , , , , , ,52,28,16,#,105
3,BAY,781,CHAUTAUQUA CHARTER SCHOOL, , , , , , , , , , , , , ,47,47
3,BAY,791,NEWPOINT MIDDLE SCHOOL, , , , , , , ,55,62,71, , , , ,188
3,BAY,2701,RISING LEADERS ACADEMY, ,17,26,16,15,#,13, , , , , , , ,94
3,BAY,2711,"UNIVERSITY ACADEMY (SABL, INC.", ,35,38,39,32,30, , , , , , , , ,174
3,BAY,7001,BAY VIRTUAL INSTRUCTION PROGRA, ,#,#,#,#,#,#,#, , ,#,#,#, ,38
3,BAY,7004,BAY VIRTUAL FRANCHISE, , , , , , , ,#,#,#,#,#,14,22,62
3,BAY,9999,DISTRICT TOTAL,736,"2,243","2,288","2,154","2,193","1,976","1,934","1,986","1,996","1,983","2,186","1,829","1,734","1,627","26,865"
4,BRADFORD,21,BRADFORD HIGH SCHOOL, , , , , , , , , , ,222,215,234,151,822
4,BRADFORD,51,STARKE ELEMENTARY SCHOOL,57,86,67,70,79,63,67, , , , , , , ,489
4,BRADFORD,81,SOUTHSIDE ELEMENTARY SCHOOL,56,108,102,80,87,82,83, , , , , , , ,598
4,BRADFORD,121,RAINBOW CENTER,72, , , , , , , , , , , , , ,72
4,BRADFORD,131,LAWTEY ELEMENTARY SCHOOL,20,44,38,39,32,33,19, , , , , , , ,225
4,BRADFORD,161,BROOKER ELEMENTARY SCHOOL,17,17,27,26,17,19,11, , , , , , , ,134
4,BRADFORD,172,BRADFORD MIDDLE SCHOOL, , , , , , , ,241,214,257, , , , ,712
4,BRADFORD,181,HAMPTON ELEMENTARY SCHOOL,19,31,21,28,24,24,19, , , , , , , ,166
4,BRADFORD,201,BRADFORD INTERVENTION CENTER, ,#,#,#, ,#, ,#,#,#,#,#,#,#,21
4,BRADFORD,7004,BRADFORD VIRTUAL FRANCHISE, , , , , , , ,#,#,#, , , ,#,#
4,BRADFORD,7023,BRADFORD VIRTUAL INSTRUC (DIST, ,#, , , , , , , , , , , , ,#
4,BRADFORD,9999,DISTRICT TOTAL,241,288,256,244,239,222,199,243,221,261,226,216,235,153,"3,244"
5,BREVARD,11,TITUSVILLE HIGH SCHOOL,10, , , , , , , , , ,368,345,313,286,"1,322"
5,BREVARD,51,OAK PARK ELEMENTARY SCHOOL,30,129,122,119,105,102,115,105, , , , , , ,827
5,BREVARD,52,JAMES MADISON MIDDLE SCHOOL, , , , , , , , ,260,254, , , , ,514
5,BREVARD,61,APOLLO ELEMENTARY SCHOOL,#,141,104,109,123,112,99,112, , , , , , ,803
5,BREVARD,72,RIVERVIEW SCHOOL,110, , , , , , , , , , , , , ,110
5,BREVARD,73,SOUTH AREA HEAD START,33, , , , , , , , , , , , , ,33
5,BREVARD,89,FIELDSTON PREPARATORY SCHOOL, , , , ,#,#,#,#,10,10,#,10,#,#,57
5,BREVARD,91,COQUINA ELEMENTARY SCHOOL, ,98,96,73,77,82,79,65, , , , , , ,570
5,BREVARD,101,MIMS ELEMENTARY SCHOOL,29,83,102,76,75,85,79,72, , , , , , ,601
5,BREVARD,141,ANDREW JACKSON MIDDLE SCHOOL, , , , , , , , ,301,237, , , , ,538
5,BREVARD,151,IMPERIAL ESTATES ELEM. SCHOOL,#,95,94,107,82,89,86,94, , , , , , ,652
5,BREVARD,161,ASTRONAUT HIGH SCHOOL, , , , , , , , , ,#,318,286,301,235,"1,141"
5,BREVARD,181,PINEWOOD ELEMENTARY SCHOOL,34,56,71,54,69,45,47,55, , , , , , ,431
5,BREVARD,191,CHALLENGER 7 ELEMENTARY SCHOOL,13,74,82,71,61,74,70,63, , , , , , ,508
5,BREVARD,201,ATLANTIS ELEMENTARY SCHOOL,#,67,93,72,84,88,78,78, , , , , , ,568
5,BREVARD,301,ENTERPRISE ELEMENTARY SCHOOL,#,75,71,81,89,82,72,97, , , , , , ,569
5,BREVARD,302,SPACE COAST JR/SR HIGH SCHOOL, , , , , , , , ,260,273,274,281,226,184,"1,498"
5,BREVARD,1002,CENTER FOR DRUG FREE LIVING, , , , , , , ,#,#,#,#, , , ,25
5,BREVARD,1011,ROCKLEDGE SENIOR HIGH SCHOOL, , , , , , , , , , ,336,410,324,302,"1,372"
5,BREVARD,1014,BREVARD COUNTY JAIL COMPLEX, , , , , , , , , ,#,#,#, ,#,#
5,BREVARD,1017,NORTH/CENTRAL AREA ALTERNATIVE, , , , , , , ,#,13,18,11,#,#,#,56
5,BREVARD,1018,SOUTH AREA ALTERNATIVE LEARNIN, , , , , , ,#,#,#,15,15,12,#,#,60
5,BREVARD,1020,OUTWARD BOUND, , , , , , , , ,#,#, ,#, , ,#
5,BREVARD,1021,ESE INFANTS AND TODDLERS,224, , , ,#,#, , , , , , , ,#,227
5,BREVARD,1025,BREVARD COUNTY JUV.DET.CTR., , , , , , , ,#,#,#,#,#,#, ,29
5,BREVARD,1026,FRANCES WALKER HALFWAY HOUSE, , , , , , , , ,#,#,#,#,#,#,20
5,BREVARD,1027,MELBOURNE CENTER FOR PERSONAL, , , , , , , , , ,#,11,11,#,#,27
5,BREVARD,1028,DEVEREUX HOSPITAL, , , , ,#,#,#,#,#,#,12,#,#,#,43
5,BREVARD,1029,RIVERDALE COUNTRY DAY SCHOOL, , ,#,#,#,#,#,#,14,13,19,11,#,22,105
5,BREVARD,1032,HORACE MANN ACADEMY, , ,#,#,#,#,#,#,14,14,21,15,#,10,111
5,BREVARD,1041,CAMBRIDGE ELEM MAGNET SCHOOL,70,113,92,75,72,67,67,64, , , , , , ,620
5,BREVARD,1051,ENDEAVOUR ELEMENTARY MAGNET,77,143,140,112,100,95,74,75, , , , , , ,816
5,BREVARD,1071,GOLFVIEW ELEMENTARY MAGNET SCH,43,84,79,89,99,93,72,89, , , , , , ,648
5,BREVARD,1073,PROJECT SEARCH, , , , , , , , , , , , , ,19,19
5,BREVARD,1081,RONALD MCNAIR MAGNET MIDDLE, , , , , , , , ,214,280, , , , ,494
5,BREVARD,1091,FAIRGLEN ELEMENTARY SCHOOL,37,89,103,99,86,88,111,101, , , , , , ,714
5,BREVARD,1101,JOHN F. KENNEDY MIDDLE SCHOOL, , , , , , , , ,297,317, , , , ,614
5,BREVARD,1121,COCOA HIGH SCHOOL,25, , , , , , , ,282,241,276,250,199,184,"1,457"
5,BREVARD,1131,SATURN ELEMENTARY SCHOOL,74,92,93,102,99,95,85,98, , , , , , ,738
5,BREVARD,1141,HANS CHRISTIAN ANDERSEN ELEMEN,#,93,107,97,107,111,112,120, , , , , , ,751
5,BREVARD,1151,RALPH M WILLIAMS JR ELEMENTARY,26,70,88,73,78,77,82,58, , , , , , ,552
5,BREVARD,1161,MANATEE ELEMENTARY,11,111,119,124,137,118,120,110, , , , , , ,850
5,BREVARD,1171,VIERA HIGH SCHOOL,13, , , , , , , , , ,479,459,528,497,"1,976"
5,BREVARD,2011,MELBOURNE SENIOR HIGH SCHOOL, , , , , , , , , , ,565,555,474,413,"2,007"
5,BREVARD,2021,PALM BAY MAGNET SENIOR HIGH SC,34, , , , , , , , ,#,391,403,402,322,"1,553"
5,BREVARD,2031,MEADOWLANE INTERMEDIATE ELEMEN, , , , ,243,207,209,231, , , , , , ,890
5,BREVARD,2041,MEADOWLANE PRIMARY ELEMENTARY,#,274,273,224,#, , , , , , , , , ,779
5,BREVARD,2042,W. MELBOURNE ELEMENTARY SCHOOL, ,72,72,72,72,88,87,88, , , , , , ,551
5,BREVARD,2051,UNIVERSITY PARK ELEMENTARY SCH,59,125,90,88,80,89,73,71, , , , , , ,675
5,BREVARD,2061,PORT MALABAR ELEMENTARY SCHOOL,55,112,108,108,86,89,104,93, , , , , , ,755
5,BREVARD,2071,STONE MAGNET MIDDLE SCHOOL, , , , , , , , ,404,412, , , , ,816
5,BREVARD,2081,PALM BAY ELEMENTARY SCHOOL,85,129,106,93,123,108,104,101, , , , , , ,849
5,BREVARD,2111,LOCKMAR ELEMENTARY SCHOOL,16,115,111,107,100,92,112,115,#, , , , , ,770
5,BREVARD,2121,"JOHN F. TURNER, SR. ELEMENTARY",61,89,97,88,93,95,98,94, , , , , , ,715
5,BREVARD,2122,SOUTHWEST MIDDLE SCHOOL, , , , , , , , ,459,507, , , , ,966
5,BREVARD,2131,COLUMBIA ELEMENTARY SCHOOL,28,77,79,82,92,92,73,92, , , , , , ,615
5,BREVARD,2151,DISCOVERY ELEMENTARY SCHOOL,54,96,102,110,87,90,86,95, , , , , , ,720
5,BREVARD,2161,CHRISTA MCAULIFFE ELEM. SCHOOL,41,121,121,96,100,111,80,99, , , , , , ,769
5,BREVARD,2171,RIVIERA ELEMENTARY SCHOOL,69,137,125,105,88,82,64,56, , , , , , ,726
5,BREVARD,2191,JUPITER ELEMENTARY SCHOOL,72,81,120,98,107,105,105,108, , , , , , ,796
5,BREVARD,2211,BAYSIDE HIGH SCHOOL, , , , , , , , , , ,448,443,390,346,"1,627"
5,BREVARD,2212,WESTSIDE ELEMENTARY SCHOOL,#,118,116,113,110,110,112,119, , , , , , ,803
5,BREVARD,2221,SUNRISE ELEMENTARY SCHOOL,19,100,113,96,94,104,111,90, , , , , , ,727
5,BREVARD,2311,HERITAGE HIGH SCHOOL, , , , , , , , , , ,507,478,429,381,"1,795"
5,BREVARD,3011,EAU GALLIE HIGH SCHOOL,29, , , , , , , , ,#,472,454,379,346,"1,681"
5,BREVARD,3021,CENTRAL MIDDLE SCHOOL, , , , , , , , ,635,642, , , , ,"1,277"
5,BREVARD,3031,LYNDON B. JOHNSON MIDDLE SCHL, , , , , , , , ,400,396, , , , ,796
5,BREVARD,3041,SHERWOOD ELEMENTARY SCHOOL,35,82,69,77,60,65,70,72, , , , , , ,530
5,BREVARD,3061,HARBOR CITY ELEMENTARY SCHOOL,26,63,69,46,65,68,51,63, , , , , , ,451
5,BREVARD,3071,SABAL ELEMENTARY SCHOOL,29,85,81,82,78,88,79,87, , , , , , ,609
5,BREVARD,3091,CROTON ELEMENTARY SCHOOL,23,106,118,83,93,95,88,70, , , , , , ,676
5,BREVARD,3101,ROY ALLEN ELEMENTARY SCHOOL,39,78,93,80,73,79,83,70, , , , , , ,595
5,BREVARD,3121,SUNTREE ELEMENTARY SCHOOL,#,78,77,91,91,99,85,97, , , , , , ,622
5,BREVARD,3131,LONGLEAF ELEMENTARY SCHOOL,18,78,70,68,84,90,90,111, , , , , , ,609
5,BREVARD,3141,WEST SHORE JUNIOR/SENIOR HIGH, , , , , , , , ,171,174,165,160,146,145,961
5,BREVARD,3151,QUEST ELEMENTARY SCHOOL,20,87,105,94,98,93,101,113, , , , , , ,711
5,BREVARD,4011,MERRITT ISLAND HIGH SCHOOL,18, , , , , , , , , ,362,367,424,328,"1,499"
5,BREVARD,4021,EDGEWOOD JR/SR HIGH SCHOOL, , , , , , , , ,186,184,158,133,145,134,940
5,BREVARD,4031,MILA ELEMENTARY SCHOOL,39,76,75,61,56,54,62,55,#, , , , , ,479
5,BREVARD,4041,TROPICAL ELEMENTARY SCHOOL,#,102,91,103,103,70,92,104, , , , , , ,674
5,BREVARD,4051,AUDUBON ELEMENTARY SCHOOL,19,101,91,83,86,100,95,95, , , , , , ,670
5,BREVARD,4071,ROBERT L. STEVENSON ELEMENTARY, ,72,54,54,72,68,78,87, , , , , , ,485
5,BREVARD,4111,THOMAS JEFFERSON MIDDLE SCHOOL, , , , , , , , ,325,317, , , , ,642
5,BREVARD,4121,LEWIS CARROLL ELEMENTARY SCHL,#,67,87,86,76,92,105,115, , , , , , ,633
5,BREVARD,5011,COCOA BEACH JUNIOR/SENIOR HIGH, , , , , , , , ,194,191,226,185,185,183,"1,164"
5,BREVARD,5012,THEODORE ROOSEVELT ELEMENTARY,#,58,66,53,52,50,61,68, , , , , , ,409
5,BREVARD,5021,FREEDOM 7 ELEMENTARY SCHOOL IN, ,54,54,54,54,65,63,60, , , , , , ,404
5,BREVARD,5031,CAPE VIEW ELEMENTARY SCHOOL,42,53,59,41,39,44,47,47, , , , , , ,372
5,BREVARD,6011,SATELLITE SENIOR HIGH SCHOOL,15, , , , , , , , , ,345,376,291,263,"1,290"
5,BREVARD,6012,DELAURA MIDDLE SCHOOL, , , , , , , , ,333,409, , , , ,742
5,BREVARD,6013,SPESSARD L. HOLLAND ELEMENTARY,#,55,73,49,70,57,49,56, , , , , , ,415
5,BREVARD,6051,SEA PARK ELEMENTARY SCHOOL,18,45,42,58,41,43,39,35, , , , , , ,321
5,BREVARD,6061,SURFSIDE ELEMENTARY SCHOOL,#,48,65,51,58,55,52,58, , , , , , ,389
5,BREVARD,6071,OCEAN BREEZE ELEMENTARY SCHOOL,13,70,73,84,62,70,72,87, , , , , , ,531
5,BREVARD,6081,INDIALANTIC ELEMENTARY SCHOOL,10,89,117,100,116,107,92,125, , , , , , ,756
5,BREVARD,6082,HERBERT C. HOOVER MIDDLE SCHOO, , , , , , , ,#,279,274, , , , ,554
5,BREVARD,6101,GEMINI ELEMENTARY SCHOOL,#,47,58,54,84,90,88,86, , , , , , ,510
5,BREVARD,6141,DR. W.J. CREEL ELEMENTARY SCHL,52,145,138,119,138,128,120,101, , , , , , ,941
5,BREVARD,6501,PALM BAY ACADEMY CHARTER SCHOO, ,104,71,69,65,66,49,56,44,35, , , , ,559
5,BREVARD,6506,CAMPUS CHARTER SCHOOL, ,34,25,22,16,23,10,12, , , , , , ,142
5,BREVARD,6507,ODYSSEY CHARTER SCHOOL, ,93,97,91,67,86,84,112,133,132,16, , , ,911
5,BREVARD,6508,SCULPTOR CHARTER SCHOOL, ,57,57,57,52,66,69,72,55,46, , , , ,531
5,BREVARD,6509,ROYAL PALM CHARTER SCHOOL, ,38,38,38,38,44,43,37,38,21, , , , ,335
5,BREVARD,6511,EDUCATIONAL HORIZONS CHARTER, ,19,15,16,16,14,#,10, , , , , , ,97
5,BREVARD,6515,IMAGINE SCHOOLS AT WEST MELBOU, ,32,23,22,25,31,24,17, , , , , , ,174
5,BREVARD,6523,EMMA JEWEL CHARTER ACADEMY, ,40,29,31,29,24,22,20,#, , , , , ,202
5,BREVARD,6540,VIERA CHARTER SCHOOL, ,86,90,68,69,83,83,86,77, , , , , ,642
5,BREVARD,6541,ODYESSY PREPARATORY CHARTER AC, ,54,37,13,33,22,20, , , , , , , ,179
5,BREVARD,7004,BREVARD VIRTUAL FRANCHISE, , , , , , , ,#,11,12,#,#,#,10,64
5,BREVARD,7023,BREVARD VIRTUAL ESCHOOL, ,#,#,#,#,#,15,10,#,#, , , , ,67
5,BREVARD,9999,DISTRICT TOTAL,"1,960","5,560","5,607","5,127","5,202","5,214","5,065","5,235","5,452","5,456","5,831","5,678","5,209","4,628","71,224"
6,BROWARD,11,DEERFIELD BEACH ELEMENTARY SCH,19,131,130,88,131,107,96, , , , , , , ,702
6,BROWARD,21,POMPANO BEACH MIDDLE SCHOOL, , , , , , , ,358,364,334, , , , ,"1,056"
6,BROWARD,31,OAKLAND PARK ELEMENTARY SCHOOL,40,99,97,91,94,92,83, , , , , , , ,596
6,BROWARD,41,NORTH SIDE ELEMENTARY SCHOOL,54,81,67,60,66,65,57, , , , , , , ,450
