FLORIDA DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,,,
SCHOOL MEMBERSHIP BY GRADE,,,,,,,,,,,,,,,,,,
SCHOOL YEAR 2011-12,,,,,,,,,,,,,,,,,,
SURVEY 2 DATA AS OF 11/23/11,,,,,,,,,,,,,,,,,,
DISTRICT #,DISTRICT,SCHOOL #,SCHOOL,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,TOTAL MEMBERSHIP
29,HILLSBOROUGH,4741,WILLIAMS MIDDLE MAGNET SCHOOL,0,0,0,0,0,0,0,305,253,248,0,0,0,0,806
29,HILLSBOROUGH,4747,JAMES ELEMENTARY SCHOOL,13,100,106,124,120,87,111,0,0,0,0,0,0,0,661
29,HILLSBOROUGH,4761,WILSON MIDDLE SCHOOL,0,0,0,0,0,0,0,201,210,207,0,0,0,0,618
29,HILLSBOROUGH,4801,WILSON ELEMENTARY SCHOOL,23,50,64,66,57,57,46,0,0,0,0,0,0,0,363
29,HILLSBOROUGH,4841,WIMAUMA ELEMENTARY SCHOOL,23,92,84,72,59,67,75,0,0,0,0,0,0,0,472
29,HILLSBOROUGH,4921,WITTER ELEMENTARY SCHOOL,74,90,94,86,68,72,62,0,0,0,0,0,0,0,546
29,HILLSBOROUGH,4941,WOODBRIDGE ELEMENTARY SCHOOL,25,84,92,96,102,91,85,0,0,0,0,0,0,0,575
29,HILLSBOROUGH,4961,YATES ELEMENTARY SCHOOL,16,119,128,121,135,117,110,0,0,0,0,0,0,0,746
29,HILLSBOROUGH,5041,YOUNG MIDDLE MAGNET SCHOOL,0,0,0,0,0,0,0,158,200,219,0,0,0,0,577
29,HILLSBOROUGH,5042,HILLSBOROUGH ACADEMY,0,0,0,0,0,0,0,0,1,3,6,2,1,2,15
29,HILLSBOROUGH,5044,"DETENTION CENTER, WEST",0,0,0,0,0,0,1,5,10,21,30,14,5,1,87
29,HILLSBOROUGH,5048,LESLIE PETERS HALFWAY HOUSE,0,0,0,0,0,0,0,0,2,4,7,6,4,0,23
29,HILLSBOROUGH,5051,AMI KIDS TAMPA,0,0,0,0,0,0,0,4,17,24,15,5,2,1,68
29,HILLSBOROUGH,5052,AMI KIDS YES,0,0,0,0,0,0,0,1,4,4,13,8,1,1,32
29,HILLSBOROUGH,5054,PACE CENTER FOR GIRLS,0,0,0,0,0,0,0,1,8,9,19,7,4,0,48
29,HILLSBOROUGH,5056,FALKENBURG JCT - MENTAL HEALTH,0,0,0,0,0,0,0,0,0,6,10,20,5,10,51
29,HILLSBOROUGH,5058,ORIENT ROAD JAIL,0,0,0,0,0,0,0,0,4,7,27,10,5,0,53
29,HILLSBOROUGH,5060,RIVERSIDE ACADEMY,0,0,0,0,0,0,0,2,12,29,41,33,8,6,131
29,HILLSBOROUGH,5062,COLUMBUS RESIDENTIAL JUVENILE,0,0,0,0,0,0,0,2,3,9,19,13,1,2,49
29,HILLSBOROUGH,5371,HOSPITAL/HOMEBOUND/HOMEBASED P,13,5,6,10,7,4,10,5,8,11,17,7,20,22,145
29,HILLSBOROUGH,5372,ESE BIRTH THRU AGE 5,343,0,0,0,0,0,0,0,0,0,0,0,0,0,343
29,HILLSBOROUGH,6529,DELIA SANCHEZ FULL SERVICE SCH,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20
29,HILLSBOROUGH,6601,RICHARDSON MONTESSORI ACADEMY,0,20,10,18,8,1,4,0,0,0,0,0,0,0,61
29,HILLSBOROUGH,6606,TERRACE COMMUNITY MIDDLE SCHOO,0,0,0,0,0,0,0,220,220,220,0,0,0,0,660
29,HILLSBOROUGH,6608,VILLAGE OF EXCEL. ACAD.,0,41,40,25,31,20,12,0,0,0,0,0,0,0,169
29,HILLSBOROUGH,6609,PEPIN ACADEMY OF TAMPA,0,0,0,0,0,0,0,0,0,0,44,38,43,33,158
29,HILLSBOROUGH,6612,TRINITY SCHOOL FOR CHILDREN -,0,79,89,84,70,75,73,0,0,0,0,0,0,0,470
29,HILLSBOROUGH,6613,LEARNING GATE COMMUNITY SCHOOL,0,79,80,78,81,87,89,106,99,79,20,0,0,0,798
29,HILLSBOROUGH,6615,RCMA WIMAUMA ACADEMY,0,37,42,34,28,23,18,31,0,0,0,0,0,0,213
29,HILLSBOROUGH,6620,TAMPA CHARTER SCHOOL,0,0,0,0,16,14,31,31,43,30,0,0,0,0,165
29,HILLSBOROUGH,6621,MOUNT PLEASANT STANDARD BASE,0,0,0,0,0,0,0,40,38,16,0,0,0,0,94
29,HILLSBOROUGH,6623,WALTON ACADEMY,0,30,30,28,29,19,20,0,0,0,0,0,0,0,156
29,HILLSBOROUGH,6624,TRINITY UPPER SCHOOL,0,0,0,0,0,0,0,78,74,74,0,0,0,0,226
29,HILLSBOROUGH,6625,LITERACY/LEADERSHIP/TECHNOLOGY,0,0,0,0,0,0,0,101,101,82,0,0,0,0,284
29,HILLSBOROUGH,6626,KIDS COMMUNITY COLLEGE,0,53,54,51,50,58,39,0,0,0,0,0,0,0,305
