7/8/2014,,,,,,,,,,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code,,,,,,,,,
Aedes albopictus,,,,1,2,,,,,,2,,,,,,,,,
A. aegypti,,,,,,,,,,,3,,,,,,,,,
A. vexans,,,,,,,,,,,1,,,,,,,,,
Ochlerotatus atlanticus,,,,,,,,,,,9,,,,,,,,,
O. dupreei,,,,,,,,,,,18,,,,,,,,,
O. fulvus pallens,,,,,,,,,,,8,,,,,,,,,
O. infirmatus,5,,,2,2,3,2,4,16,,7,,,,,,,,,
O.  mitchellae,,,,,,,,,,,6,,,,,,,,,
O. sollicitans,,,,,,,,,,,15,,,,,,,,,
O.  taeniorhynchus,,,,,,,,,,,5,,,,,,,,,
O.  triseriatus,,,,,,,,,,,14,,,,,,,,,
Anopheles crucians,54,10,3,1,1,5,3,32,66,2,34,,,,,,,,,
A. quadrimaculatus,,,,,,,,,,1,31,,,,,,,,,
Culex  erraticus,16,12,2,,1,4,6,46,44,,25,,,,,,,,,
C. nigripalpus,38,15,4,,1,5,10,66,90,,42,,,,,,,,,
C.  quinquefasciatus,,,,,,,,,,,27,,,,,,,,,
C. restuans,,,,,,,,,,,21,,,,,,,,,
C.  salinarius,,,,,,,,,,,23,,,,,,,,,
Culiseta  inornata,,,,,,,,,,,40,,,,,,,,,
Culiseta  melanura,,,,,,,,,,,41,,,,,,,,,
Coquillettidia  perturbans,21,12,2,,,2,3,44,50,1,60,,,,,,,,,
Mansonia  titillans,,,,,,,,,,,47,,,,,,,,,
M. dyari,6,,,,1,1,4,56,42,,48,,,,,,,,,
Psorophora  ciliata,,,,,,,,,,,51,,,,,,,,,
P. columbiae,,5,,,5,1,,16,20,,50,,,,,,,,,
P. ferox,,,,,,,,,,,52,,,,,,,,,
P. howardii,,1,,,,,,,,,54,,,,,,,,,
Toxorhynchites rutilus,,,,,,,,,,,88,,,,,,,,,
Uranotaenia  sapphirina,2,,,,,,,,,,70,,,,,,,,,
U.  lowii,,,2,,,2,,4,10,,71,,,,,,,,,
Wyeomyia  mitchellii,,,,,,,2,4,4,,80,,,,,,,,,
W.  vanduzeei,,,,,,,,,,,82,,,,,,,,,
Other (Cx coronator),,,,,,,,,,,100,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
