7/30/2013,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code
Aedes albopictus,,,1,,2,,,,,,2
A. aegypti,,,,,,,,,,,3
A. vexans,,,,,,,,192,,,1
Ochlerotatus atlanticus,176,36,1,,4,616,,,,59,9
O. dupreei,,,,,,,,,,,18
O. fulvus pallens,,,,1,,16,,,,7,8
O. infirmatus,,,,1,,,,,,,7
O.  mitchellae,,,,,,,,,,,6
O. sollicitans,,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,,5
O.  triseriatus,,,,,,,,,,,14
Anopheles crucians,104,3,,,,88,,256,8,39,34
A. quadrimaculatus,,,,,1,,,,,1,31
Culex  erraticus,,45,13,,,24,2,64,84,28,25
C. nigripalpus,100,49,13,1,,240,,3136,260,2,42
C.  quinquefasciatus,,,7,,,,,,,,27
C. restuans,,,,,,,,,,,21
C.  salinarius,,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,,40
Culiseta  melanura,,,,,,8,,,,,41
Coquillettidia  perturbans,,,1,,,8,,640,12,2,60
Mansonia  titillans,,,,,,,,,,,47
M. dyari,,1,,,,,4,2432,72,4,48
Psorophora  ciliata,,2,,,,,,64,4,2,51
P. columbiae,16,21,,,,80,,1280,20,7,50
P. ferox,104,11,1,,,,1,,,14,52
P. howardii,,,,,,,,,,,54
Toxorhynchites rutilus,,,,,,,,,,,88
Uranotaenia  sapphirina,,2,,,,,,,,,70
U.  lowii,,,,,,,,,,,71
Wyeomyia  mitchellii,,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,,82
Other (Cx coronator),,,7,,1,,,,,,100
